ESP-ROM:esp32s31-20251218
Build:Dec 18 2025
rst:0x1 (POWERON),boot:0x79 (SPI_FAST_FLASH_BOOT)
SPI mode:DIO, clock div:1
load:0x2f000000,len:0x8d9c
load:0x2f008e00,len:0x2ad8
entry 0x2f0089de
*** Booting NuttX ***
dram: lma 0x00002020 vma 0x2f000000 len 0x8d9c   (36252)
dram: lma 0x0000adc4 vma 0x2f008e00 len 0x2ad8   (10968)
padd: lma 0x0000d8c8 vma 0x00000000 len 0x2750   (10064)
imap: lma 0x00010020 vma 0x40030020 len 0x85c4   (34244)
padd: lma 0x000185ec vma 0x00000000 len 0x7b0c   (31500)
imap: lma 0x00020100 vma 0x40000100 len 0x2abd4  (175060)
total segments stored 6
ABCS31 LCD: NuttX framebuffer 800x480 RGB565 pclk=18000000, two DMA scan buffers, raw link-switch polling
OPENVELA_FB_READY /dev/fb0 RGB565 800x480
S31 DVP controller prepared: 640x480 RGB565, 614400 bytes
S31 camera SCCB sensor ID: 0x3660

NuttShell (NSH)
nsh> [Ks31preview --frames 600
s31preview: video=/dev/video0 640x480 RGB565 stride=1280 bytes=614400 buffers=2 fb=/dev/fb0 800x480 stride=1600 x=80 frames=600 timeout_ms=3000
S31 LCD: UPDATE_STAGE=copy
S31 LCD: UPDATE_STAGE=cache-writeback
S31 LCD: UPDATE_STAGE=link-request channel=0
S31 LCD: UPDATE_STAGE=link-wait
S31 LCD: UPDATE_STAGE=complete raw=00000403
s31preview: frame=40 buffer=1 capture_time=19.090000 elapsed_ms=9270 bytesused=614400 fnv1a32=1f0a7802 update=OK
s31preview: frame=41 buffer=0 capture_time=19.310000 elapsed_ms=9500 bytesused=614400 fnv1a32=46560894 update=OK
s31preview: frame=42 buffer=1 capture_time=19.540000 elapsed_ms=9720 bytesused=614400 fnv1a32=373ed819 update=OK
s31preview: frame=43 buffer=0 capture_time=19.760000 elapsed_ms=9950 bytesused=614400 fnv1a32=946bd043 update=OK
s31preview: frame=44 buffer=1 capture_time=19.990000 elapsed_ms=10190 bytesused=614400 fnv1a32=d6c4082e update=OK
s31preview: frame=45 buffer=0 capture_time=20.210000 elapsed_ms=10400 bytesused=614400 fnv1a32=0cb468e3 update=OK
s31preview: frame=46 buffer=1 capture_time=20.440000 elapsed_ms=10640 bytesused=614400 fnv1a32=9863b2d4 update=OK
s31preview: frame=47 buffer=0 capture_time=20.660000 elapsed_ms=10860 bytesused=614400 fnv1a32=c0daba5e update=OK
s31preview: frame=48 buffer=1 capture_time=20.890000 elapsed_ms=11090 bytesused=614400 fnv1a32=a47b7aa1 update=OK
s31preview: frame=49 buffer=0 capture_time=21.110000 elapsed_ms=11310 bytesused=614400 fnv1a32=c1ba2295 update=OK
s31preview: frame=50 buffer=1 capture_time=21.340000 elapsed_ms=11540 bytesused=614400 fnv1a32=9ac3a218 update=OK
s31preview: frame=51 buffer=0 capture_time=21.560000 elapsed_ms=11760 bytesused=614400 fnv1a32=d79b9779 update=OK
s31preview: frame=52 buffer=1 capture_time=21.790000 elapsed_ms=11990 bytesused=614400 fnv1a32=74ab2ef7 update=OK
s31preview: frame=53 buffer=0 capture_time=22.010000 elapsed_ms=12210 bytesused=614400 fnv1a32=89c05f77 update=OK
s31preview: frame=54 buffer=1 capture_time=22.240000 elapsed_ms=12440 bytesused=614400 fnv1a32=94f74d0d update=OK
s31preview: frame=55 buffer=0 capture_time=22.460000 elapsed_ms=12670 bytesused=614400 fnv1a32=01e29a73 update=OK
s31preview: frame=56 buffer=1 capture_time=22.690000 elapsed_ms=12890 bytesused=614400 fnv1a32=357461ba update=OK
s31preview: frame=57 buffer=0 capture_time=22.910000 elapsed_ms=13120 bytesused=614400 fnv1a32=f0eec838 update=OK
s31preview: frame=58 buffer=1 capture_time=23.140000 elapsed_ms=13320 bytesused=614400 fnv1a32=326a830c update=OK
s31preview: frame=59 buffer=0 capture_time=23.360000 elapsed_ms=13550 bytesused=614400 fnv1a32=9a2a6bac update=OK
s31preview: frame=60 buffer=1 capture_time=23.590000 elapsed_ms=13770 bytesused=614400 fnv1a32=3b049320 update=OK
s31preview: frame=61 buffer=0 capture_time=23.810000 elapsed_ms=14000 bytesused=614400 fnv1a32=336b32a8 update=OK
s31preview: frame=62 buffer=1 capture_time=24.040000 elapsed_ms=14220 bytesused=614400 fnv1a32=a4b62d1f update=OK
s31preview: frame=63 buffer=0 capture_time=24.260000 elapsed_ms=14450 bytesused=614400 fnv1a32=6fffd0e7 update=OK
s31preview: frame=64 buffer=1 capture_time=24.490000 elapsed_ms=14670 bytesused=614400 fnv1a32=2fb9278f update=OK
s31preview: frame=65 buffer=0 capture_time=24.710000 elapsed_ms=14900 bytesused=614400 fnv1a32=ac152b07 update=OK
s31preview: frame=66 buffer=1 capture_time=24.940000 elapsed_ms=15120 bytesused=614400 fnv1a32=68ccf620 update=OK
s31preview: frame=67 buffer=0 capture_time=25.160000 elapsed_ms=15350 bytesused=614400 fnv1a32=fdbcbba7 update=OK
s31preview: frame=68 buffer=1 capture_time=25.390000 elapsed_ms=15570 bytesused=614400 fnv1a32=84faf125 update=OK
s31preview: frame=69 buffer=0 capture_time=25.610000 elapsed_ms=15800 bytesused=614400 fnv1a32=b38d782b update=OK
s31preview: frame=70 buffer=1 capture_time=25.840000 elapsed_ms=16020 bytesused=614400 fnv1a32=523113af update=OK
s31preview: frame=71 buffer=0 capture_time=26.060000 elapsed_ms=16250 bytesused=614400 fnv1a32=91c46a80 update=OK
s31preview: frame=72 buffer=1 capture_time=26.300000 elapsed_ms=16480 bytesused=614400 fnv1a32=d24e91e9 update=OK
s31preview: frame=73 buffer=0 capture_time=26.510000 elapsed_ms=16700 bytesused=614400 fnv1a32=7a1c237c update=OK
s31preview: frame=74 buffer=1 capture_time=26.750000 elapsed_ms=16930 bytesused=614400 fnv1a32=784b27d9 update=OK
s31preview: frame=75 buffer=0 capture_time=26.960000 elapsed_ms=17160 bytesused=614400 fnv1a32=8703e790 update=OK
s31preview: frame=76 buffer=1 capture_time=27.200000 elapsed_ms=17380 bytesused=614400 fnv1a32=ed5a69f9 update=OK
s31preview: frame=77 buffer=0 capture_time=27.410000 elapsed_ms=17610 bytesused=614400 fnv1a32=d536cef7 update=OK
s31preview: frame=78 buffer=1 capture_time=27.650000 elapsed_ms=17830 bytesused=614400 fnv1a32=c2420ede update=OK
s31preview: frame=79 buffer=0 capture_time=27.860000 elapsed_ms=18060 bytesused=614400 fnv1a32=f01d7973 update=OK
s31preview: frame=80 buffer=1 capture_time=28.100000 elapsed_ms=18280 bytesused=614400 fnv1a32=3fc17dd7 update=OK
s31preview: frame=81 buffer=0 capture_time=28.310000 elapsed_ms=18510 bytesused=614400 fnv1a32=ff712d37 update=OK
s31preview: frame=82 buffer=1 capture_time=28.550000 elapsed_ms=18750 bytesused=614400 fnv1a32=305b4dfd update=OK
s31preview: frame=83 buffer=0 capture_time=28.760000 elapsed_ms=18970 bytesused=614400 fnv1a32=7939b739 update=OK
s31preview: frame=84 buffer=1 capture_time=29.000000 elapsed_ms=19200 bytesused=614400 fnv1a32=4e3fcd00 update=OK
s31preview: frame=85 buffer=0 capture_time=29.210000 elapsed_ms=19420 bytesused=614400 fnv1a32=69bfe8f0 update=OK
s31preview: frame=86 buffer=1 capture_time=29.450000 elapsed_ms=19650 bytesused=614400 fnv1a32=d2b94592 update=OK
s31preview: frame=87 buffer=0 capture_time=29.660000 elapsed_ms=19850 bytesused=614400 fnv1a32=77044f97 update=OK
s31preview: frame=88 buffer=1 capture_time=29.900000 elapsed_ms=20100 bytesused=614400 fnv1a32=26342b33 update=OK
s31preview: frame=89 buffer=0 capture_time=30.110000 elapsed_ms=20300 bytesused=614400 fnv1a32=c143e2c5 update=OK
s31preview: frame=90 buffer=1 capture_time=30.350000 elapsed_ms=20550 bytesused=614400 fnv1a32=98e243c4 update=OK
s31preview: frame=91 buffer=0 capture_time=30.560000 elapsed_ms=20750 bytesused=614400 fnv1a32=8c358d56 update=OK
s31preview: frame=92 buffer=1 capture_time=30.800000 elapsed_ms=21000 bytesused=614400 fnv1a32=aaea0f7e update=OK
s31preview: frame=93 buffer=0 capture_time=31.010000 elapsed_ms=21200 bytesused=614400 fnv1a32=5ce09b5b update=OK
s31preview: frame=94 buffer=1 capture_time=31.250000 elapsed_ms=21450 bytesused=614400 fnv1a32=01f0bcf2 update=OK
s31preview: frame=95 buffer=0 capture_time=31.460000 elapsed_ms=21650 bytesused=614400 fnv1a32=2ab92aea update=OK
s31preview: frame=96 buffer=1 capture_time=31.700000 elapsed_ms=21880 bytesused=614400 fnv1a32=c8e36910 update=OK
s31preview: frame=97 buffer=0 capture_time=31.910000 elapsed_ms=22100 bytesused=614400 fnv1a32=ca0a0609 update=OK
s31preview: frame=98 buffer=1 capture_time=32.150000 elapsed_ms=22330 bytesused=614400 fnv1a32=b344d03e update=OK
s31preview: frame=99 buffer=0 capture_time=32.360000 elapsed_ms=22550 bytesused=614400 fnv1a32=f7cb6edd update=OK
s31preview: frame=100 buffer=1 capture_time=32.600000 elapsed_ms=22780 bytesused=614400 fnv1a32=97cfca0a update=OK
s31preview: frame=101 buffer=0 capture_time=32.810000 elapsed_ms=23000 bytesused=614400 fnv1a32=44dc79e8 update=OK
s31preview: frame=102 buffer=1 capture_time=33.050000 elapsed_ms=23230 bytesused=614400 fnv1a32=7dd5d903 update=OK
s31preview: frame=103 buffer=0 capture_time=33.260000 elapsed_ms=23460 bytesused=614400 fnv1a32=413487ab update=OK
s31preview: frame=104 buffer=1 capture_time=33.500000 elapsed_ms=23680 bytesused=614400 fnv1a32=35ad720a update=OK
s31preview: frame=105 buffer=0 capture_time=33.710000 elapsed_ms=23910 bytesused=614400 fnv1a32=5c63df0b update=OK
s31preview: frame=106 buffer=1 capture_time=33.950000 elapsed_ms=24130 bytesused=614400 fnv1a32=f63d1da3 update=OK
s31preview: frame=107 buffer=0 capture_time=34.160000 elapsed_ms=24360 bytesused=614400 fnv1a32=e367868f update=OK
s31preview: frame=108 buffer=1 capture_time=34.400000 elapsed_ms=24580 bytesused=614400 fnv1a32=df417cd3 update=OK
s31preview: frame=109 buffer=0 capture_time=34.610000 elapsed_ms=24810 bytesused=614400 fnv1a32=9fc48b4b update=OK
s31preview: frame=110 buffer=1 capture_time=34.850000 elapsed_ms=25050 bytesused=614400 fnv1a32=eec68fc2 update=OK
s31preview: frame=111 buffer=0 capture_time=35.060000 elapsed_ms=25270 bytesused=614400 fnv1a32=0654c81a update=OK
s31preview: frame=112 buffer=1 capture_time=35.300000 elapsed_ms=25500 bytesused=614400 fnv1a32=5a5b3d3e update=OK
s31preview: frame=113 buffer=0 capture_time=35.510000 elapsed_ms=25720 bytesused=614400 fnv1a32=a98f86e6 update=OK
s31preview: frame=114 buffer=1 capture_time=35.750000 elapsed_ms=25950 bytesused=614400 fnv1a32=bb64d4cb update=OK
s31preview: frame=115 buffer=0 capture_time=35.970000 elapsed_ms=26170 bytesused=614400 fnv1a32=ce87b317 update=OK
s31preview: frame=116 buffer=1 capture_time=36.200000 elapsed_ms=26400 bytesused=614400 fnv1a32=65996e81 update=OK
s31preview: frame=117 buffer=0 capture_time=36.420000 elapsed_ms=26620 bytesused=614400 fnv1a32=dfb10bfb update=OK
s31preview: frame=118 buffer=1 capture_time=36.650000 elapsed_ms=26850 bytesused=614400 fnv1a32=f88093f6 update=OK
s31preview: frame=119 buffer=0 capture_time=36.870000 elapsed_ms=27080 bytesused=614400 fnv1a32=3838ae02 update=OK
s31preview: frame=120 buffer=1 capture_time=37.100000 elapsed_ms=27300 bytesused=614400 fnv1a32=8c95605f update=OK
s31preview: frame=121 buffer=0 capture_time=37.320000 elapsed_ms=27530 bytesused=614400 fnv1a32=b8ff5790 update=OK
s31preview: frame=122 buffer=1 capture_time=37.550000 elapsed_ms=27750 bytesused=614400 fnv1a32=750bd65c update=OK
s31preview: frame=123 buffer=0 capture_time=37.770000 elapsed_ms=27980 bytesused=614400 fnv1a32=dde3bb10 update=OK
s31preview: frame=124 buffer=1 capture_time=38.000000 elapsed_ms=28180 bytesused=614400 fnv1a32=aed65d41 update=OK
s31preview: frame=125 buffer=0 capture_time=38.220000 elapsed_ms=28410 bytesused=614400 fnv1a32=8bd880f8 update=OK
s31preview: frame=126 buffer=1 capture_time=38.450000 elapsed_ms=28630 bytesused=614400 fnv1a32=d5898540 update=OK
s31preview: frame=127 buffer=0 capture_time=38.670000 elapsed_ms=28860 bytesused=614400 fnv1a32=e4015062 update=OK
s31preview: frame=128 buffer=1 capture_time=38.900000 elapsed_ms=29080 bytesused=614400 fnv1a32=a198e951 update=OK
s31preview: frame=129 buffer=0 capture_time=39.120000 elapsed_ms=29310 bytesused=614400 fnv1a32=f7e3620f update=OK
