------------------------------------------------------------
Server listening on UDP port 5004
UDP buffer size: 64.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.29 port 5004 connected with 192.168.1.60 port 23555
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 259.00-260.00 sec  45.9 KBytes   376 Kbits/sec  19.843 ms 0/32 (0%)
[  1] 260.00-261.00 sec  47.4 KBytes   388 Kbits/sec  20.359 ms 0/33 (0%)
[  1] 261.00-262.00 sec  47.4 KBytes   388 Kbits/sec  26.460 ms 0/33 (0%)
[  1] 262.00-263.00 sec  34.5 KBytes   282 Kbits/sec  28.916 ms 0/24 (0%)
[  1] 263.00-264.00 sec  37.3 KBytes   306 Kbits/sec  26.305 ms 0/26 (0%)
[  1] 264.00-265.00 sec  30.1 KBytes   247 Kbits/sec  44.672 ms 0/21 (0%)
[  1] 265.00-266.00 sec  34.5 KBytes   282 Kbits/sec  35.829 ms 0/24 (0%)
[  1] 266.00-267.00 sec  28.7 KBytes   235 Kbits/sec  41.870 ms 0/20 (0%)
[  1] 267.00-268.00 sec  40.2 KBytes   329 Kbits/sec  40.438 ms 0/28 (0%)
[  1] 268.00-269.00 sec  40.2 KBytes   329 Kbits/sec  37.931 ms 0/28 (0%)
[  1] 269.00-270.00 sec  44.5 KBytes   365 Kbits/sec  29.434 ms 0/31 (0%)
[  1] 270.00-271.00 sec  40.2 KBytes   329 Kbits/sec  24.618 ms 0/28 (0%)
[  1] 271.00-272.00 sec  44.5 KBytes   365 Kbits/sec  23.592 ms 0/31 (0%)
[  1] 272.00-273.00 sec  47.4 KBytes   388 Kbits/sec  23.328 ms 0/33 (0%)
[  1] 273.00-274.00 sec  30.1 KBytes   247 Kbits/sec  33.237 ms 0/21 (0%)
[  1] 274.00-275.00 sec  31.6 KBytes   259 Kbits/sec  26.326 ms 0/22 (0%)
[  1] 275.00-276.00 sec  44.5 KBytes   365 Kbits/sec  29.918 ms 0/31 (0%)
[  1] 276.00-277.00 sec  31.6 KBytes   259 Kbits/sec  34.310 ms 0/22 (0%)
[  1] 277.00-278.00 sec  47.4 KBytes   388 Kbits/sec  23.864 ms 0/33 (0%)
[  1] 278.00-279.00 sec  40.2 KBytes   329 Kbits/sec  25.747 ms 0/28 (0%)
[  1] 279.00-280.00 sec  28.7 KBytes   235 Kbits/sec  34.119 ms 0/20 (0%)
[  1] 280.00-281.00 sec  35.9 KBytes   294 Kbits/sec  31.475 ms 0/25 (0%)
[  1] 281.00-282.00 sec  44.5 KBytes   365 Kbits/sec  28.052 ms 0/31 (0%)
[  1] 282.00-283.00 sec  45.9 KBytes   376 Kbits/sec  23.433 ms 0/32 (0%)
[  1] 283.00-284.00 sec  48.8 KBytes   400 Kbits/sec  25.707 ms 0/34 (0%)
[  1] 284.00-285.00 sec  45.9 KBytes   376 Kbits/sec  21.108 ms 0/32 (0%)
[  1] 285.00-286.00 sec  47.4 KBytes   388 Kbits/sec  23.259 ms 0/33 (0%)
[  1] 286.00-287.00 sec  45.9 KBytes   376 Kbits/sec  23.981 ms 0/32 (0%)
[  1] 287.00-288.00 sec  35.9 KBytes   294 Kbits/sec  22.681 ms 0/25 (0%)
[  1] 288.00-289.00 sec  30.1 KBytes   247 Kbits/sec  23.826 ms 0/21 (0%)
[  1] 289.00-290.00 sec  34.5 KBytes   282 Kbits/sec  25.415 ms 0/24 (0%)
[  1] 290.00-291.00 sec  31.6 KBytes   259 Kbits/sec  30.853 ms 0/22 (0%)
[  1] 291.00-292.00 sec  38.8 KBytes   318 Kbits/sec  30.563 ms 0/27 (0%)
[  1] 292.00-293.00 sec  47.4 KBytes   388 Kbits/sec  31.340 ms 0/33 (0%)
[  1] 293.00-294.00 sec  44.5 KBytes   365 Kbits/sec  26.056 ms 0/31 (0%)
[  1] 294.00-295.00 sec  37.3 KBytes   306 Kbits/sec  21.199 ms 0/26 (0%)
[  1] 295.00-296.00 sec  43.1 KBytes   353 Kbits/sec  23.509 ms 0/30 (0%)
[  1] 296.00-297.00 sec  41.6 KBytes   341 Kbits/sec  29.611 ms 0/29 (0%)
[  1] 297.00-298.00 sec  47.4 KBytes   388 Kbits/sec  24.774 ms 0/33 (0%)
[  1] 298.00-299.00 sec  43.1 KBytes   353 Kbits/sec  25.981 ms 0/30 (0%)
[  1] 299.00-300.00 sec  34.5 KBytes   282 Kbits/sec  26.043 ms 0/24 (0%)
[  1] 300.00-301.00 sec  40.2 KBytes   329 Kbits/sec  20.561 ms 0/28 (0%)
[  1] 301.00-301.43 sec  24.4 KBytes   466 Kbits/sec  28.207 ms 0/17 (0%)
[  1] 0.00-301.43 sec  10.9 MBytes   304 Kbits/sec  28.207 ms 2/7798 (0.026%)
[364] WARNING: ack of last datagram failed.
