------------------------------------------------------------
Server listening on UDP port 5004
UDP buffer size: 64.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.29 port 5004 connected with 192.168.1.60 port 23555
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 60.00-61.00 sec  37.3 KBytes   306 Kbits/sec  26.859 ms 0/26 (0%)
[  1] 61.00-62.00 sec  24.4 KBytes   200 Kbits/sec  28.472 ms 0/17 (0%)
[  1] 62.00-63.00 sec  34.5 KBytes   282 Kbits/sec  28.969 ms 0/24 (0%)
[  1] 63.00-64.00 sec  38.8 KBytes   318 Kbits/sec  30.736 ms 0/27 (0%)
[  1] 64.00-65.00 sec  25.8 KBytes   212 Kbits/sec  35.062 ms 0/18 (0%)
[  1] 65.00-66.00 sec  37.3 KBytes   306 Kbits/sec  35.923 ms 0/26 (0%)
[  1] 66.00-67.00 sec  35.9 KBytes   294 Kbits/sec  38.418 ms 0/25 (0%)
[  1] 67.00-68.00 sec  38.8 KBytes   318 Kbits/sec  29.178 ms 0/27 (0%)
[  1] 68.00-69.00 sec  35.9 KBytes   294 Kbits/sec  23.945 ms 0/25 (0%)
[  1] 69.00-70.00 sec  41.6 KBytes   341 Kbits/sec  34.150 ms 0/29 (0%)
[  1] 70.00-71.00 sec  31.6 KBytes   259 Kbits/sec  32.948 ms 0/22 (0%)
[  1] 71.00-72.00 sec  33.0 KBytes   270 Kbits/sec  32.007 ms 0/23 (0%)
[  1] 72.00-73.00 sec  28.7 KBytes   235 Kbits/sec  32.643 ms 0/20 (0%)
[  1] 73.00-74.00 sec  25.8 KBytes   212 Kbits/sec  32.282 ms 0/18 (0%)
[  1] 74.00-75.00 sec  35.9 KBytes   294 Kbits/sec  24.574 ms 0/25 (0%)
[  1] 75.00-76.00 sec  33.0 KBytes   270 Kbits/sec  29.410 ms 0/23 (0%)
[  1] 76.00-77.00 sec  35.9 KBytes   294 Kbits/sec  23.628 ms 0/25 (0%)
[  1] 77.00-78.00 sec  43.1 KBytes   353 Kbits/sec  22.290 ms 0/30 (0%)
[  1] 78.00-79.00 sec  40.2 KBytes   329 Kbits/sec  31.455 ms 0/28 (0%)
[  1] 79.00-80.00 sec  31.6 KBytes   259 Kbits/sec  29.902 ms 0/22 (0%)
[  1] 80.00-81.00 sec  47.4 KBytes   388 Kbits/sec  28.235 ms 0/33 (0%)
[  1] 81.00-82.00 sec  47.4 KBytes   388 Kbits/sec  16.508 ms 0/33 (0%)
[  1] 82.00-83.00 sec  28.7 KBytes   235 Kbits/sec  28.052 ms 0/20 (0%)
[  1] 83.00-84.00 sec  33.0 KBytes   270 Kbits/sec  27.999 ms 0/23 (0%)
[  1] 84.00-85.00 sec  35.9 KBytes   294 Kbits/sec  41.446 ms 0/25 (0%)
[  1] 85.00-86.00 sec  25.8 KBytes   212 Kbits/sec  36.479 ms 0/18 (0%)
[  1] 86.00-87.00 sec  34.5 KBytes   282 Kbits/sec  33.216 ms 0/24 (0%)
[  1] 87.00-88.00 sec  37.3 KBytes   306 Kbits/sec  33.234 ms 0/26 (0%)
[  1] 88.00-89.00 sec  44.5 KBytes   365 Kbits/sec  26.669 ms 0/31 (0%)
[  1] 89.00-90.00 sec  43.1 KBytes   353 Kbits/sec  23.750 ms 0/30 (0%)
[  1] 90.00-91.00 sec  40.2 KBytes   329 Kbits/sec  29.021 ms 0/28 (0%)
[  1] 91.00-92.00 sec  35.9 KBytes   294 Kbits/sec  32.663 ms 0/25 (0%)
[  1] 92.00-93.00 sec  35.9 KBytes   294 Kbits/sec  40.549 ms 0/25 (0%)
[  1] 93.00-94.00 sec  33.0 KBytes   270 Kbits/sec  46.610 ms 0/23 (0%)
[  1] 94.00-95.00 sec  28.7 KBytes   235 Kbits/sec  38.406 ms 0/20 (0%)
[  1] 95.00-96.00 sec  41.6 KBytes   341 Kbits/sec  27.118 ms 0/29 (0%)
[  1] 96.00-97.00 sec  35.9 KBytes   294 Kbits/sec  41.055 ms 0/25 (0%)
[  1] 97.00-98.00 sec  38.8 KBytes   318 Kbits/sec  29.701 ms 0/27 (0%)
[  1] 98.00-99.00 sec  37.3 KBytes   306 Kbits/sec  30.010 ms 0/26 (0%)
[  1] 99.00-100.00 sec  18.7 KBytes   153 Kbits/sec  44.957 ms 0/13 (0%)
[  1] 100.00-101.00 sec  41.6 KBytes   341 Kbits/sec  28.169 ms 0/29 (0%)
[  1] 101.00-102.00 sec  38.8 KBytes   318 Kbits/sec  28.580 ms 0/27 (0%)
[  1] 102.00-103.00 sec  38.8 KBytes   318 Kbits/sec  32.397 ms 0/27 (0%)
[  1] 103.00-104.00 sec  47.4 KBytes   388 Kbits/sec  23.610 ms 0/33 (0%)
[  1] 104.00-105.00 sec  34.5 KBytes   282 Kbits/sec  24.344 ms 0/24 (0%)
[  1] 105.00-106.00 sec  38.8 KBytes   318 Kbits/sec  30.560 ms 0/27 (0%)
[  1] 106.00-107.00 sec  31.6 KBytes   259 Kbits/sec  34.560 ms 0/22 (0%)
[  1] 107.00-108.00 sec  24.4 KBytes   200 Kbits/sec  36.759 ms 0/17 (0%)
[  1] 108.00-109.00 sec  20.1 KBytes   165 Kbits/sec  44.535 ms 0/14 (0%)
[  1] 109.00-110.00 sec  27.3 KBytes   223 Kbits/sec  43.182 ms 0/19 (0%)
[  1] 110.00-111.00 sec  23.0 KBytes   188 Kbits/sec  44.306 ms 0/16 (0%)
[  1] 111.00-112.00 sec  31.6 KBytes   259 Kbits/sec  36.547 ms 0/22 (0%)
[  1] 112.00-113.00 sec  31.6 KBytes   259 Kbits/sec  47.517 ms 0/22 (0%)
[  1] 113.00-114.00 sec  31.6 KBytes   259 Kbits/sec  41.122 ms 0/22 (0%)
[  1] 114.00-115.00 sec  41.6 KBytes   341 Kbits/sec  34.843 ms 0/29 (0%)
[  1] 115.00-116.00 sec  34.5 KBytes   282 Kbits/sec  32.722 ms 0/24 (0%)
[  1] 116.00-117.00 sec  43.1 KBytes   353 Kbits/sec  23.449 ms 0/30 (0%)
[  1] 117.00-118.00 sec  41.6 KBytes   341 Kbits/sec  31.814 ms 0/29 (0%)
[  1] 118.00-119.00 sec  38.8 KBytes   318 Kbits/sec  31.191 ms 0/27 (0%)
[  1] 119.00-120.00 sec  33.0 KBytes   270 Kbits/sec  26.101 ms 0/23 (0%)
[  1] 120.00-121.00 sec  30.1 KBytes   247 Kbits/sec  33.591 ms 0/21 (0%)
[  1] 121.00-122.00 sec  37.3 KBytes   306 Kbits/sec  40.035 ms 0/26 (0%)
[  1] 122.00-123.00 sec  34.5 KBytes   282 Kbits/sec  36.400 ms 0/24 (0%)
[  1] 123.00-124.00 sec  40.2 KBytes   329 Kbits/sec  27.763 ms 0/28 (0%)
[  1] 124.00-125.00 sec  34.5 KBytes   282 Kbits/sec  29.042 ms 0/24 (0%)
[  1] 125.00-126.00 sec  35.9 KBytes   294 Kbits/sec  34.826 ms 0/25 (0%)
[  1] 126.00-127.00 sec  43.1 KBytes   353 Kbits/sec  21.945 ms 0/30 (0%)
[  1] 127.00-128.00 sec  44.5 KBytes   365 Kbits/sec  29.242 ms 0/31 (0%)
[  1] 128.00-129.00 sec  33.0 KBytes   270 Kbits/sec  34.980 ms 0/23 (0%)
[  1] 129.00-130.00 sec  38.8 KBytes   318 Kbits/sec  26.160 ms 0/27 (0%)
