iperf2 -c 192.168.1.29 -i 1 -p 5002 -t 300
------------------------------------------------------------
Client connecting to 192.168.1.29, TCP port 5002
TCP window size: 16.0 KByte
------------------------------------------------------------
[  1] local 192.168.1.60 port 9110 connected with 192.168.1.29 port 5002
[ ID] Interval       Transfer     Bandwidth
[  1] 87.00-88.00 sec   448 KBytes  3.67 Mbits/sec
[  1] 88.00-89.00 sec   384 KBytes  3.15 Mbits/sec
[  1] 89.00-90.00 sec   448 KBytes  3.67 Mbits/sec
[  1] 90.00-91.00 sec   400 KBytes  3.28 Mbits/sec
[  1] 91.00-92.00 sec   416 KBytes  3.41 Mbits/sec
[  1] 92.00-93.00 sec   432 KBytes  3.54 Mbits/sec
[  1] 93.00-94.00 sec   432 KBytes  3.54 Mbits/sec
[  1] 94.00-95.00 sec   368 KBytes  3.01 Mbits/sec
[  1] 95.00-96.00 sec   416 KBytes  3.41 Mbits/sec
[  1] 96.00-97.00 sec   448 KBytes  3.67 Mbits/sec
[  1] 97.00-98.00 sec   416 KBytes  3.41 Mbits/sec
[  1] 98.00-99.00 sec   448 KBytes  3.67 Mbits/sec
[  1] 99.00-100.00 sec   416 KBytes  3.41 Mbits/sec
[  1] 100.00-101.00 sec   432 KBytes  3.54 Mbits/sec
[  1] 101.00-102.00 sec   432 KBytes  3.54 Mbits/sec
[  1] 102.00-103.00 sec   432 KBytes  3.54 Mbits/sec
[  1] 103.00-104.00 sec   448 KBytes  3.67 Mbits/sec
[  1] 104.00-105.00 sec   384 KBytes  3.15 Mbits/sec
[  1] 105.00-106.00 sec   416 KBytes  3.41 Mbits/sec
[  1] 106.00-107.00 sec   448 KBytes  3.67 Mbits/sec
[  1] 107.00-108.00 sec   448 KBytes  3.67 Mbits/sec
[  1] 108.00-109.00 sec   448 KBytes  3.67 Mbits/sec
[  1] 109.00-110.00 sec   432 KBytes  3.54 Mbits/sec
[  1] 110.00-111.00 sec   448 KBytes  3.67 Mbits/sec
[  1] 111.00-112.00 sec   432 KBytes  3.54 Mbits/sec
[  1] 112.00-113.00 sec   448 KBytes  3.67 Mbits/sec
[  1] 113.00-114.00 sec   432 KBytes  3.54 Mbits/sec
[  1] 114.00-115.00 sec   432 KBytes  3.54 Mbits/sec
[  1] 115.00-116.00 sec   416 KBytes  3.41 Mbits/sec
[  1] 116.00-117.00 sec   384 KBytes  3.15 Mbits/sec
[  1] 117.00-118.00 sec   432 KBytes  3.54 Mbits/sec
[  1] 118.00-119.00 sec   400 KBytes  3.28 Mbits/sec
[  1] 119.00-120.00 sec   448 KBytes  3.67 Mbits/sec
[  1] 120.00-121.00 sec   448 KBytes  3.67 Mbits/sec
[  1] 121.00-122.00 sec   432 KBytes  3.54 Mbits/sec
[  1] 122.00-123.00 sec   432 KBytes  3.54 Mbits/sec
[  1] 123.00-124.00 sec   448 KBytes  3.67 Mbits/sec
[  1] 124.00-125.00 sec   448 KBytes  3.67 Mbits/sec
[  1] 125.00-126.00 sec   416 KBytes  3.41 Mbits/sec
[  1] 126.00-127.00 sec   432 KBytes  3.54 Mbits/sec
[  1] 127.00-128.00 sec   400 KBytes  3.28 Mbits/sec
[  1] 128.00-129.00 sec   368 KBytes  3.01 Mbits/sec
[  1] 129.00-130.00 sec   336 KBytes  2.75 Mbits/sec
[  1] 130.00-131.00 sec   416 KBytes  3.41 Mbits/sec
[  1] 131.00-132.00 sec   448 KBytes  3.67 Mbits/sec
[  1] 132.00-133.00 sec   448 KBytes  3.67 Mbits/sec
[  1] 133.00-134.00 sec   432 KBytes  3.54 Mbits/sec
[  1] 134.00-135.00 sec   432 KBytes  3.54 Mbits/sec
[  1] 135.00-136.00 sec   176 KBytes  1.44 Mbits/sec
[  1] 136.00-137.00 sec  43.4 KBytes   356 Kbits/sec
[CPU1] psock_tcp_send: ERROR: No longer connected
[CPU1] psock_tcp_send: ERROR: Not connected
tcp write failed: Transport endpoint is not connected
[  1] 0.00-137.25 sec  54.2 MBytes  3.31 Mbits/sec
nsh> [Kifconfig
wlan0	Link encap:Ethernet HWaddr 30:ed:a0:f3:f7:b0 at RUNNING mtu 1500
	inet addr:192.168.1.60 DRaddr:192.168.1.1 Mask:255.255.255.0

	RX: Received Fragment Errors   Bytes   
	    00002fc6 00000000 00000000 b6159           
	    IPv4     ARP      Dropped 
	    00000000 00000000 00000000
	TX: Queued   Sent     Errors   Timeouts Bytes   
	    0000bbf6 0000bbf8 00000000 00000000 38b4609          
	Total Errors: 00000000

             IPv4   TCP   UDP  ICMP
Received     2f3f  2f0b  001f  0014
Dropped      0001  0000  0000  0000
  IPv4        VHL: 0000   Frg: 0000
  Checksum   0000  0000  0000  0000
  TCP         ACK: 0000   SYN: 0000
              RST: 0000  0000
              HDR: 0000
  Type       0000  ----  ----  0000
Sent         bbea  bbd3  0002  0015
  Rexmit     ----  0001  ----  ----
nsh> [K
