------------------------------------------------------------
Server listening on UDP port 5014
UDP buffer size: 64.0 KByte (default)
------------------------------------------------------------
[  1] local 127.0.0.1 port 5014 connected with 127.0.0.1 port 51370
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 0.00-1.00 sec  1.44 KBytes  11.8 Kbits/sec   0.000 ms 0/1 (0%)
[  1] 1.00-2.00 sec  2.87 KBytes  23.5 Kbits/sec   0.007 ms 0/2 (0%)
[  1] 2.00-3.00 sec  1.44 KBytes  11.8 Kbits/sec   0.011 ms 0/1 (0%)
[  1] 3.00-4.00 sec  1.44 KBytes  11.8 Kbits/sec   0.011 ms 0/1 (0%)
[  1] 4.00-5.00 sec  1.44 KBytes  11.8 Kbits/sec   0.012 ms 0/1 (0%)
[  1] 5.00-6.00 sec  1.44 KBytes  11.8 Kbits/sec   0.014 ms 0/1 (0%)
[  1] 6.00-7.00 sec  0.000 Bytes  0.000 bits/sec   0.014 ms 0/0 (-nan(ind)%)
[  1] 0.00-7.07 sec  11.5 KBytes  13.3 Kbits/sec   0.015 ms 0/8 (0%)
