------------------------------------------------------------
Server listening on UDP port 5004
UDP buffer size: 64.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.29 port 5004 connected with 192.168.1.60 port 13370
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 57.00-58.00 sec   464 KBytes  3.80 Mbits/sec   4.152 ms 0/323 (0%)
[  1] 58.00-59.00 sec   455 KBytes  3.73 Mbits/sec   3.663 ms 0/317 (0%)
[  1] 59.00-60.00 sec   448 KBytes  3.67 Mbits/sec   3.547 ms 0/312 (0%)
[  1] 60.00-61.00 sec   457 KBytes  3.74 Mbits/sec   4.844 ms 0/318 (0%)
[  1] 60.00-61.00 sec  2 datagrams received out-of-order
[  1] 61.00-62.00 sec   464 KBytes  3.80 Mbits/sec   3.969 ms 0/323 (0%)
[  1] 62.00-63.00 sec   471 KBytes  3.86 Mbits/sec   3.361 ms 0/328 (0%)
[  1] 63.00-64.00 sec   478 KBytes  3.92 Mbits/sec   3.645 ms 0/333 (0%)
[  1] 64.00-65.00 sec   458 KBytes  3.75 Mbits/sec   3.518 ms 0/319 (0%)
[  1] 65.00-66.00 sec   477 KBytes  3.90 Mbits/sec   4.543 ms 0/332 (0%)
[  1] 66.00-67.00 sec   471 KBytes  3.86 Mbits/sec   4.076 ms 0/328 (0%)
[  1] 67.00-68.00 sec   479 KBytes  3.93 Mbits/sec   4.345 ms 0/334 (0%)
[  1] 68.00-69.00 sec   481 KBytes  3.94 Mbits/sec   4.664 ms 0/335 (0%)
[  1] 69.00-70.00 sec   441 KBytes  3.61 Mbits/sec   3.761 ms 0/307 (0%)
[  1] 70.00-71.00 sec   471 KBytes  3.86 Mbits/sec   4.169 ms 0/328 (0%)
[  1] 71.00-72.00 sec   464 KBytes  3.80 Mbits/sec   3.956 ms 0/323 (0%)
[  1] 72.00-73.00 sec   472 KBytes  3.87 Mbits/sec   4.610 ms 0/329 (0%)
[  1] 73.00-74.00 sec   451 KBytes  3.69 Mbits/sec   4.551 ms 0/314 (0%)
[  1] 74.00-75.00 sec   467 KBytes  3.82 Mbits/sec   3.942 ms 0/325 (0%)
[  1] 75.00-76.00 sec   454 KBytes  3.72 Mbits/sec   4.085 ms 0/316 (0%)
[  1] 76.00-77.00 sec   469 KBytes  3.85 Mbits/sec   3.516 ms 0/327 (0%)
[  1] 77.00-78.00 sec   459 KBytes  3.76 Mbits/sec   3.465 ms 0/320 (0%)
[  1] 78.00-79.00 sec   462 KBytes  3.79 Mbits/sec   4.057 ms 0/322 (0%)
[  1] 79.00-80.00 sec   449 KBytes  3.68 Mbits/sec   3.390 ms 0/313 (0%)
[  1] 80.00-81.00 sec   442 KBytes  3.62 Mbits/sec   4.336 ms 0/308 (0%)
[  1] 81.00-82.00 sec   441 KBytes  3.61 Mbits/sec   4.386 ms 0/307 (0%)
[  1] 82.00-83.00 sec   445 KBytes  3.65 Mbits/sec   3.152 ms 0/310 (0%)
[  1] 83.00-84.00 sec   477 KBytes  3.90 Mbits/sec   3.028 ms 0/332 (0%)
[  1] 84.00-85.00 sec   454 KBytes  3.72 Mbits/sec   3.658 ms 0/316 (0%)
[  1] 85.00-86.00 sec   469 KBytes  3.85 Mbits/sec   3.916 ms 0/327 (0%)
[  1] 86.00-87.00 sec   471 KBytes  3.86 Mbits/sec   3.532 ms 0/328 (0%)
[  1] 87.00-88.00 sec   454 KBytes  3.72 Mbits/sec   3.343 ms 0/316 (0%)
[  1] 88.00-89.00 sec   445 KBytes  3.65 Mbits/sec   4.395 ms 0/310 (0%)
[  1] 89.00-90.00 sec   469 KBytes  3.85 Mbits/sec   3.329 ms 0/327 (0%)
[  1] 90.00-91.00 sec   461 KBytes  3.77 Mbits/sec   3.611 ms 0/321 (0%)
[  1] 91.00-92.00 sec   458 KBytes  3.75 Mbits/sec   3.469 ms 0/319 (0%)
[  1] 92.00-93.00 sec   426 KBytes  3.49 Mbits/sec   4.672 ms 19/316 (6%)
[  1] 93.00-94.00 sec   501 KBytes  4.10 Mbits/sec   4.789 ms 0/349 (0%)
[  1] 94.00-95.00 sec   471 KBytes  3.86 Mbits/sec   3.930 ms 0/328 (0%)
[  1] 95.00-96.00 sec   471 KBytes  3.86 Mbits/sec   3.827 ms 0/328 (0%)
[  1] 96.00-97.00 sec   471 KBytes  3.86 Mbits/sec   4.038 ms 0/328 (0%)
[  1] 97.00-98.00 sec   462 KBytes  3.79 Mbits/sec   3.532 ms 0/322 (0%)
[  1] 98.00-99.00 sec   474 KBytes  3.88 Mbits/sec   4.300 ms 0/330 (0%)
[  1] 99.00-100.00 sec   446 KBytes  3.66 Mbits/sec   3.333 ms 0/311 (0%)
[  1] 100.00-101.00 sec   478 KBytes  3.92 Mbits/sec   3.083 ms 0/333 (0%)
[  1] 101.00-102.00 sec   461 KBytes  3.77 Mbits/sec   3.848 ms 0/321 (0%)
[  1] 101.00-102.00 sec  1 datagrams received out-of-order
[  1] 102.00-103.00 sec   454 KBytes  3.72 Mbits/sec   4.504 ms 0/316 (0%)
[  1] 103.00-104.00 sec   436 KBytes  3.58 Mbits/sec   3.255 ms 0/304 (0%)
[  1] 104.00-105.00 sec   479 KBytes  3.93 Mbits/sec   3.785 ms 0/334 (0%)
[  1] 105.00-106.00 sec   462 KBytes  3.79 Mbits/sec   3.567 ms 0/322 (0%)
[  1] 105.00-106.00 sec  1 datagrams received out-of-order
[  1] 106.00-107.00 sec   451 KBytes  3.69 Mbits/sec   4.156 ms 0/314 (0%)
[  1] 107.00-108.00 sec   355 KBytes  2.90 Mbits/sec   9.370 ms 0/247 (0%)
[  1] 107.00-108.00 sec  2 datagrams received out-of-order
[  1] 108.00-109.00 sec   478 KBytes  3.92 Mbits/sec   4.247 ms 10/343 (2.9%)
[  1] 109.00-110.00 sec   484 KBytes  3.96 Mbits/sec   4.549 ms 0/337 (0%)
[  1] 110.00-111.00 sec   462 KBytes  3.79 Mbits/sec   4.452 ms 0/322 (0%)
[  1] 111.00-112.00 sec   452 KBytes  3.70 Mbits/sec   3.511 ms 0/315 (0%)
[  1] 112.00-113.00 sec   472 KBytes  3.87 Mbits/sec   2.870 ms 0/329 (0%)
[  1] 113.00-114.00 sec   465 KBytes  3.81 Mbits/sec   4.035 ms 0/324 (0%)
[  1] 114.00-115.00 sec   459 KBytes  3.76 Mbits/sec   3.448 ms 0/320 (0%)
[  1] 115.00-116.00 sec   459 KBytes  3.76 Mbits/sec   4.778 ms 0/320 (0%)
[  1] 116.00-117.00 sec   462 KBytes  3.79 Mbits/sec   3.940 ms 0/322 (0%)
[  1] 117.00-118.00 sec   462 KBytes  3.79 Mbits/sec   3.351 ms 0/322 (0%)
[  1] 118.00-119.00 sec   482 KBytes  3.95 Mbits/sec   4.041 ms 0/336 (0%)
[  1] 119.00-120.00 sec   482 KBytes  3.95 Mbits/sec   4.540 ms 0/336 (0%)
[  1] 120.00-121.00 sec   469 KBytes  3.85 Mbits/sec   4.439 ms 0/327 (0%)
[  1] 121.00-122.00 sec   445 KBytes  3.65 Mbits/sec   4.446 ms 0/310 (0%)
[  1] 122.00-123.00 sec   474 KBytes  3.88 Mbits/sec   3.566 ms 0/330 (0%)
[  1] 123.00-124.00 sec   461 KBytes  3.77 Mbits/sec   4.428 ms 0/321 (0%)
[  1] 124.00-125.00 sec   455 KBytes  3.73 Mbits/sec   4.578 ms 0/317 (0%)
[  1] 125.00-126.00 sec   459 KBytes  3.76 Mbits/sec   3.310 ms 0/320 (0%)
[  1] 126.00-127.00 sec   439 KBytes  3.60 Mbits/sec   3.381 ms 0/306 (0%)
[  1] 127.00-128.00 sec   478 KBytes  3.92 Mbits/sec   3.728 ms 0/333 (0%)
[  1] 128.00-129.00 sec   462 KBytes  3.79 Mbits/sec   4.106 ms 0/322 (0%)
[  1] 129.00-130.00 sec   449 KBytes  3.68 Mbits/sec   3.928 ms 0/313 (0%)
[  1] 130.00-131.00 sec   475 KBytes  3.89 Mbits/sec   3.123 ms 0/331 (0%)
[  1] 130.00-131.00 sec  2 datagrams received out-of-order
[  1] 131.00-132.00 sec   461 KBytes  3.77 Mbits/sec   4.482 ms 0/321 (0%)
[  1] 132.00-133.00 sec   451 KBytes  3.69 Mbits/sec   3.928 ms 0/314 (0%)
[  1] 133.00-134.00 sec   451 KBytes  3.69 Mbits/sec   4.008 ms 0/314 (0%)
[  1] 134.00-135.00 sec   445 KBytes  3.65 Mbits/sec   3.324 ms 0/310 (0%)
