------------------------------------------------------------
Server listening on UDP port 5004
UDP buffer size: 64.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.29 port 5004 connected with 192.168.1.60 port 13370
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 257.00-258.00 sec   454 KBytes  3.72 Mbits/sec   3.833 ms 0/316 (0%)
[  1] 258.00-259.00 sec   457 KBytes  3.74 Mbits/sec   4.522 ms 0/318 (0%)
[  1] 259.00-260.00 sec   464 KBytes  3.80 Mbits/sec   4.497 ms 0/323 (0%)
[  1] 260.00-261.00 sec   446 KBytes  3.66 Mbits/sec   3.693 ms 0/311 (0%)
[  1] 261.00-262.00 sec   457 KBytes  3.74 Mbits/sec   3.915 ms 0/318 (0%)
[  1] 262.00-263.00 sec   468 KBytes  3.83 Mbits/sec   3.294 ms 0/326 (0%)
[  1] 263.00-264.00 sec   459 KBytes  3.76 Mbits/sec   3.509 ms 0/320 (0%)
[  1] 264.00-265.00 sec   449 KBytes  3.68 Mbits/sec   3.814 ms 0/313 (0%)
[  1] 265.00-266.00 sec   442 KBytes  3.62 Mbits/sec   4.163 ms 0/308 (0%)
[  1] 266.00-267.00 sec   449 KBytes  3.68 Mbits/sec   3.877 ms 0/313 (0%)
[  1] 267.00-268.00 sec   469 KBytes  3.85 Mbits/sec   4.205 ms 0/327 (0%)
[  1] 268.00-269.00 sec   465 KBytes  3.81 Mbits/sec   3.568 ms 0/324 (0%)
[  1] 269.00-270.00 sec   451 KBytes  3.69 Mbits/sec   4.104 ms 0/314 (0%)
[  1] 270.00-271.00 sec   449 KBytes  3.68 Mbits/sec   3.585 ms 0/313 (0%)
[  1] 271.00-272.00 sec   449 KBytes  3.68 Mbits/sec   3.144 ms 0/313 (0%)
[  1] 272.00-273.00 sec   465 KBytes  3.81 Mbits/sec   3.540 ms 0/324 (0%)
[  1] 273.00-274.00 sec   452 KBytes  3.70 Mbits/sec   5.465 ms 0/315 (0%)
[  1] 274.00-275.00 sec   469 KBytes  3.85 Mbits/sec   4.365 ms 0/327 (0%)
[  1] 275.00-276.00 sec   436 KBytes  3.58 Mbits/sec   3.983 ms 0/304 (0%)
[  1] 276.00-277.00 sec   477 KBytes  3.90 Mbits/sec   4.002 ms 0/332 (0%)
[  1] 277.00-278.00 sec   442 KBytes  3.62 Mbits/sec   3.379 ms 0/308 (0%)
[  1] 278.00-279.00 sec   487 KBytes  3.99 Mbits/sec   3.063 ms 0/339 (0%)
[  1] 279.00-280.00 sec   451 KBytes  3.69 Mbits/sec   3.121 ms 0/314 (0%)
[  1] 280.00-281.00 sec   446 KBytes  3.66 Mbits/sec   3.640 ms 0/311 (0%)
[  1] 281.00-282.00 sec   451 KBytes  3.69 Mbits/sec   4.454 ms 0/314 (0%)
[  1] 282.00-283.00 sec   482 KBytes  3.95 Mbits/sec   4.223 ms 0/336 (0%)
[  1] 283.00-284.00 sec   461 KBytes  3.77 Mbits/sec   3.759 ms 0/321 (0%)
[  1] 284.00-285.00 sec   459 KBytes  3.76 Mbits/sec   4.161 ms 0/320 (0%)
[  1] 285.00-286.00 sec   474 KBytes  3.88 Mbits/sec   3.412 ms 0/330 (0%)
[  1] 286.00-287.00 sec   434 KBytes  3.55 Mbits/sec   5.135 ms 0/302 (0%)
[  1] 287.00-288.00 sec   510 KBytes  4.17 Mbits/sec   3.812 ms 8/363 (2.2%)
[  1] 288.00-289.00 sec   461 KBytes  3.77 Mbits/sec   3.864 ms 0/321 (0%)
[  1] 289.00-290.00 sec   448 KBytes  3.67 Mbits/sec   2.367 ms 0/312 (0%)
[  1] 290.00-291.00 sec   446 KBytes  3.66 Mbits/sec   4.414 ms 0/311 (0%)
[  1] 291.00-292.00 sec   477 KBytes  3.90 Mbits/sec   3.853 ms 0/332 (0%)
[  1] 292.00-293.00 sec   468 KBytes  3.83 Mbits/sec   4.706 ms 0/326 (0%)
[  1] 293.00-294.00 sec   477 KBytes  3.90 Mbits/sec   3.464 ms 0/332 (0%)
[  1] 294.00-295.00 sec   459 KBytes  3.76 Mbits/sec   3.873 ms 0/320 (0%)
[  1] 294.00-295.00 sec  1 datagrams received out-of-order
[  1] 295.00-296.00 sec   455 KBytes  3.73 Mbits/sec   3.443 ms 0/317 (0%)
[  1] 296.00-297.00 sec   474 KBytes  3.88 Mbits/sec   3.756 ms 0/330 (0%)
[  1] 297.00-298.00 sec   468 KBytes  3.83 Mbits/sec   3.263 ms 0/326 (0%)
[  1] 298.00-299.00 sec   446 KBytes  3.66 Mbits/sec   4.429 ms 0/311 (0%)
[  1] 299.00-300.00 sec   467 KBytes  3.82 Mbits/sec   3.911 ms 1/326 (0.31%)
[  1] 0.00-300.02 sec   135 MBytes  3.77 Mbits/sec   3.701 ms 130/96338 (0.13%)
[  1] 0.00-300.02 sec  27 datagrams received out-of-order
