------------------------------------------------------------
Server listening on TCP port 2224
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  1] local 172.31.208.211 port 2224 connected with 172.31.208.1 port 3895 (icwnd/mss/irtt=14/1452/305)
[ ID] Interval       Transfer     Bandwidth
[  1] 87.00-88.00 sec  25.7 KBytes   210 Kbits/sec
[  1] 88.00-89.00 sec  31.4 KBytes   257 Kbits/sec
[  1] 89.00-90.00 sec  25.7 KBytes   210 Kbits/sec
[  1] 90.00-91.00 sec  25.7 KBytes   210 Kbits/sec
[  1] 91.00-92.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 92.00-93.00 sec  24.2 KBytes   199 Kbits/sec
[  1] 93.00-94.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 94.00-95.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 95.00-96.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 96.00-97.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 97.00-98.00 sec  22.8 KBytes   187 Kbits/sec
[  1] 98.00-99.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 99.00-100.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 100.00-101.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 101.00-102.00 sec  24.2 KBytes   199 Kbits/sec
[  1] 102.00-103.00 sec  31.4 KBytes   257 Kbits/sec
[  1] 103.00-104.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 104.00-105.00 sec  24.2 KBytes   199 Kbits/sec
[  1] 105.00-106.00 sec  32.8 KBytes   269 Kbits/sec
[  1] 106.00-107.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 107.00-108.00 sec  34.2 KBytes   280 Kbits/sec
[  1] 108.00-109.00 sec  32.8 KBytes   269 Kbits/sec
[  1] 109.00-110.00 sec  24.2 KBytes   199 Kbits/sec
[  1] 110.00-111.00 sec  25.7 KBytes   210 Kbits/sec
[  1] 111.00-112.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 112.00-113.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 113.00-114.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 114.00-115.00 sec  35.6 KBytes   292 Kbits/sec
[  1] 115.00-116.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 116.00-117.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 117.00-118.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 118.00-119.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 119.00-120.00 sec  31.4 KBytes   257 Kbits/sec
[  1] 120.00-121.00 sec  31.4 KBytes   257 Kbits/sec
[  1] 121.00-122.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 122.00-123.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 123.00-124.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 124.00-125.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 125.00-126.00 sec  35.6 KBytes   292 Kbits/sec
[  1] 126.00-127.00 sec  34.2 KBytes   280 Kbits/sec
[  1] 127.00-128.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 128.00-129.00 sec  21.4 KBytes   175 Kbits/sec
[  1] 129.00-130.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 130.00-131.00 sec  25.7 KBytes   210 Kbits/sec
[  1] 131.00-132.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 132.00-133.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 133.00-134.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 134.00-135.00 sec  25.7 KBytes   210 Kbits/sec
[  1] 135.00-136.00 sec  25.7 KBytes   210 Kbits/sec
[  1] 136.00-137.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 137.00-138.00 sec  28.5 KBytes   234 Kbits/sec
