--- CMD: ifconfig ---
ifconfig
wlan0	Link encap:Ethernet HWaddr 30:ed:a0:f3:f7:b0 at RUNNING mtu 1500
	inet addr:192.168.1.60 DRaddr:192.168.1.1 Mask:255.255.255.0

nsh> [K
nsh> [K
--- CMD: iperf2 -s -p 5001 -i 1 & ---
iperf2 -s -p 5001 -i 1 &
iperf2 [25:101]
nsh> [K
nsh> [K------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: -1.00 Byte (WARNING: requested 16.0 KByte)
------------------------------------------------------------
[CPU0] tcp_setsockopt: ERROR: TCP_NODELAY not supported
tcpnodelay failed: Invalid system call number
[  1] local 192.168.1.60 port 5001 connected with 192.168.1.29 port 13810
[ ID] Interval       Transfer     Bandwidth
[  1] 80.00-81.00 sec   305 KBytes  2.49 Mbits/sec
[  1] 81.00-82.00 sec   332 KBytes  2.72 Mbits/sec
[  1] 82.00-83.00 sec   313 KBytes  2.56 Mbits/sec
[  1] 83.00-84.00 sec   233 KBytes  1.91 Mbits/sec
[  1] 84.00-85.00 sec   210 KBytes  1.72 Mbits/sec
[  1] 85.00-86.00 sec   293 KBytes  2.40 Mbits/sec
[  1] 86.00-87.00 sec   300 KBytes  2.46 Mbits/sec
[  1] 87.00-88.00 sec   325 KBytes  2.66 Mbits/sec
[  1] 88.00-89.00 sec   342 KBytes  2.80 Mbits/sec
[  1] 89.00-90.00 sec   280 KBytes  2.29 Mbits/sec
[  1] 90.00-91.00 sec   387 KBytes  3.17 Mbits/sec
[  1] 91.00-92.00 sec   116 KBytes   950 Kbits/sec
[  1] 92.00-93.00 sec  24.9 KBytes   204 Kbits/sec
[  1] 93.00-94.00 sec  1.42 KBytes  11.6 Kbits/sec
[  1] 94.00-95.00 sec   261 KBytes  2.14 Mbits/sec
[  1] 95.00-96.00 sec   459 KBytes  3.76 Mbits/sec
[  1] 96.00-97.00 sec   454 KBytes  3.72 Mbits/sec
[  1] 97.00-98.00 sec   338 KBytes  2.77 Mbits/sec
[  1] 98.00-99.00 sec   297 KBytes  2.43 Mbits/sec
[  1] 99.00-100.00 sec   390 KBytes  3.19 Mbits/sec
[  1] 100.00-101.00 sec   186 KBytes  1.52 Mbits/sec
[  1] 101.00-102.00 sec   250 KBytes  2.05 Mbits/sec
[  1] 102.00-103.00 sec   324 KBytes  2.65 Mbits/sec
[  1] 103.00-104.00 sec   362 KBytes  2.96 Mbits/sec
[  1] 104.00-105.00 sec   338 KBytes  2.77 Mbits/sec
[  1] 105.00-106.00 sec   193 KBytes  1.58 Mbits/sec
[  1] 106.00-107.00 sec   195 KBytes  1.60 Mbits/sec
[  1] 107.00-108.00 sec   275 KBytes  2.25 Mbits/sec
[  1] 108.00-109.00 sec  26.2 KBytes   214 Kbits/sec
[  1] 109.00-110.00 sec   135 KBytes  1.10 Mbits/sec
[  1] 110.00-111.00 sec   346 KBytes  2.83 Mbits/sec
[  1] 111.00-112.00 sec   321 KBytes  2.63 Mbits/sec
[  1] 112.00-113.00 sec   398 KBytes  3.26 Mbits/sec
[  1] 113.00-114.00 sec   375 KBytes  3.07 Mbits/sec
[  1] 114.00-115.00 sec   350 KBytes  2.87 Mbits/sec
[  1] 115.00-116.00 sec   404 KBytes  3.31 Mbits/sec
[  1] 116.00-117.00 sec   342 KBytes  2.80 Mbits/sec
[  1] 117.00-118.00 sec   367 KBytes  3.00 Mbits/sec
[  1] 118.00-119.00 sec   291 KBytes  2.38 Mbits/sec
[  1] 119.00-120.00 sec   106 KBytes   868 Kbits/sec
[  1] 120.00-121.00 sec  26.3 KBytes   216 Kbits/sec
[  1] 121.00-122.00 sec  80.8 KBytes   662 Kbits/sec
[  1] 122.00-123.00 sec   299 KBytes  2.45 Mbits/sec
[  1] 123.00-124.00 sec  81.9 KBytes   671 Kbits/sec
[  1] 124.00-125.00 sec   239 KBytes  1.96 Mbits/sec
[  1] 125.00-126.00 sec   425 KBytes  3.48 Mbits/sec
[  1] 126.00-127.00 sec   427 KBytes  3.50 Mbits/sec
[  1] 127.00-128.00 sec   430 KBytes  3.52 Mbits/sec
[  1] 128.00-129.00 sec   372 KBytes  3.04 Mbits/sec
[  1] 129.00-130.00 sec   261 KBytes  2.14 Mbits/sec
[  1] 130.00-131.00 sec   347 KBytes  2.84 Mbits/sec
[  1] 131.00-132.00 sec   246 KBytes  2.01 Mbits/sec
[  1] 132.00-133.00 sec   286 KBytes  2.35 Mbits/sec
[  1] 133.00-134.00 sec   345 KBytes  2.82 Mbits/sec
[  1] 134.00-135.00 sec   369 KBytes  3.02 Mbits/sec
[  1] 135.00-136.00 sec   348 KBytes  2.85 Mbits/sec
[  1] 136.00-137.00 sec   252 KBytes  2.07 Mbits/sec
[  1] 137.00-138.00 sec  26.3 KBytes   216 Kbits/sec
[  1] 138.00-139.00 sec   199 KBytes  1.63 Mbits/sec
[  1] 139.00-140.00 sec   399 KBytes  3.27 Mbits/sec
[  1] 140.00-141.00 sec   373 KBytes  3.06 Mbits/sec
[  1] 141.00-142.00 sec   394 KBytes  3.23 Mbits/sec
[  1] 142.00-143.00 sec   202 KBytes  1.65 Mbits/sec
[  1] 143.00-144.00 sec   226 KBytes  1.85 Mbits/sec
[  1] 144.00-145.00 sec   270 KBytes  2.21 Mbits/sec
[  1] 145.00-146.00 sec   252 KBytes  2.06 Mbits/sec
[  1] 146.00-147.00 sec   297 KBytes  2.43 Mbits/sec
[  1] 147.00-148.00 sec   460 KBytes  3.76 Mbits/sec
[  1] 148.00-149.00 sec   288 KBytes  2.36 Mbits/sec
[  1] 149.00-150.00 sec   190 KBytes  1.55 Mbits/sec
[  1] 150.00-151.00 sec  26.9 KBytes   221 Kbits/sec
[  1] 151.00-152.00 sec   111 KBytes   912 Kbits/sec
