------------------------------------------------------------
Client connecting to 192.168.1.60, UDP port 5003
Sending 1470 byte datagrams, IPG target: 280.38 us (kalman adjust)
UDP buffer size: 64.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.29 port 62671 connected with 192.168.1.60 port 5003
[ ID] Interval       Transfer     Bandwidth
[  1] 79.00-80.00 sec  2.03 MBytes  17.1 Mbits/sec
[  1] 80.00-81.00 sec  2.02 MBytes  17.0 Mbits/sec
[  1] 81.00-82.00 sec  1.75 MBytes  14.7 Mbits/sec
[  1] 82.00-83.00 sec  1.99 MBytes  16.7 Mbits/sec
[  1] 83.00-84.00 sec  1.69 MBytes  14.1 Mbits/sec
[  1] 84.00-85.00 sec  1.88 MBytes  15.7 Mbits/sec
[  1] 85.00-86.00 sec  1.83 MBytes  15.3 Mbits/sec
[  1] 86.00-87.00 sec  1.81 MBytes  15.1 Mbits/sec
[  1] 87.00-88.00 sec  1.79 MBytes  15.0 Mbits/sec
[  1] 88.00-89.00 sec  1.93 MBytes  16.2 Mbits/sec
[  1] 89.00-90.00 sec  1.96 MBytes  16.4 Mbits/sec
[  1] 90.00-91.00 sec  2.33 MBytes  19.6 Mbits/sec
[  1] 91.00-92.00 sec  2.09 MBytes  17.5 Mbits/sec
[  1] 92.00-93.00 sec  2.19 MBytes  18.4 Mbits/sec
[  1] 93.00-94.00 sec  2.26 MBytes  18.9 Mbits/sec
[  1] 94.00-95.00 sec  2.34 MBytes  19.7 Mbits/sec
[  1] 95.00-96.00 sec  1.88 MBytes  15.7 Mbits/sec
[  1] 96.00-97.00 sec  2.43 MBytes  20.4 Mbits/sec
[  1] 97.00-98.00 sec  2.41 MBytes  20.2 Mbits/sec
[  1] 98.00-99.00 sec  1.66 MBytes  13.9 Mbits/sec
[  1] 99.00-100.00 sec  1.94 MBytes  16.3 Mbits/sec
[  1] 100.00-101.00 sec  1.79 MBytes  15.0 Mbits/sec
[  1] 101.00-102.00 sec  1.74 MBytes  14.6 Mbits/sec
[  1] 102.00-103.00 sec  2.13 MBytes  17.9 Mbits/sec
[  1] 103.00-104.00 sec  1.74 MBytes  14.6 Mbits/sec
[  1] 104.00-105.00 sec  2.18 MBytes  18.3 Mbits/sec
[  1] 105.00-106.00 sec  2.29 MBytes  19.2 Mbits/sec
[  1] 106.00-107.00 sec  1.81 MBytes  15.1 Mbits/sec
[  1] 107.00-108.00 sec  2.25 MBytes  18.9 Mbits/sec
[  1] 108.00-109.00 sec  1.78 MBytes  14.9 Mbits/sec
[  1] 109.00-110.00 sec  1.88 MBytes  15.7 Mbits/sec
[  1] 110.00-111.00 sec  2.03 MBytes  17.0 Mbits/sec
[  1] 111.00-112.00 sec  2.06 MBytes  17.3 Mbits/sec
[  1] 112.00-113.00 sec  2.03 MBytes  17.0 Mbits/sec
[  1] 113.00-114.00 sec  2.20 MBytes  18.5 Mbits/sec
[  1] 114.00-115.00 sec  1.94 MBytes  16.3 Mbits/sec
[  1] 115.00-116.00 sec  1.81 MBytes  15.2 Mbits/sec
[  1] 116.00-117.00 sec  1.69 MBytes  14.2 Mbits/sec
[  1] 117.00-118.00 sec  1.98 MBytes  16.6 Mbits/sec
[  1] 118.00-119.00 sec  1.84 MBytes  15.4 Mbits/sec
[  1] 119.00-120.00 sec  2.58 MBytes  21.6 Mbits/sec
[  1] 120.00-121.00 sec  2.20 MBytes  18.5 Mbits/sec
[  1] 121.00-122.00 sec  2.07 MBytes  17.3 Mbits/sec
[  1] 122.00-123.00 sec  2.19 MBytes  18.3 Mbits/sec
[  1] 123.00-124.00 sec  2.20 MBytes  18.4 Mbits/sec
[  1] 124.00-125.00 sec  2.13 MBytes  17.9 Mbits/sec
[  1] 125.00-126.00 sec  2.18 MBytes  18.3 Mbits/sec
[  1] 126.00-127.00 sec  2.40 MBytes  20.1 Mbits/sec
[  1] 127.00-128.00 sec  2.42 MBytes  20.3 Mbits/sec
[  1] 128.00-129.00 sec  2.22 MBytes  18.6 Mbits/sec
[  1] 129.00-130.00 sec  2.00 MBytes  16.8 Mbits/sec
[  1] 130.00-131.00 sec  1.10 MBytes  9.26 Mbits/sec
[  1] 131.00-132.00 sec  1.57 MBytes  13.2 Mbits/sec
[  1] 132.00-133.00 sec  1.94 MBytes  16.3 Mbits/sec
[  1] 133.00-134.00 sec  2.05 MBytes  17.2 Mbits/sec
[  1] 134.00-135.00 sec  2.00 MBytes  16.8 Mbits/sec
[  1] 135.00-136.00 sec  2.06 MBytes  17.3 Mbits/sec
[  1] 136.00-137.00 sec  2.02 MBytes  16.9 Mbits/sec
[  1] 137.00-138.00 sec  2.07 MBytes  17.4 Mbits/sec
[  1] 138.00-139.00 sec  2.08 MBytes  17.5 Mbits/sec
[  1] 139.00-140.00 sec  1.87 MBytes  15.7 Mbits/sec
[  1] 140.00-141.00 sec  1.88 MBytes  15.8 Mbits/sec
[  1] 141.00-142.00 sec  1.94 MBytes  16.3 Mbits/sec
[  1] 142.00-143.00 sec  1.68 MBytes  14.1 Mbits/sec
[  1] 143.00-144.00 sec  2.00 MBytes  16.8 Mbits/sec
[  1] 144.00-145.00 sec  1.48 MBytes  12.4 Mbits/sec
[  1] 145.00-146.00 sec  2.06 MBytes  17.3 Mbits/sec
[  1] 146.00-147.00 sec  2.01 MBytes  16.8 Mbits/sec
[  1] 147.00-148.00 sec  2.18 MBytes  18.3 Mbits/sec
[  1] 148.00-149.00 sec  1.97 MBytes  16.5 Mbits/sec
[  1] 149.00-150.00 sec  1.51 MBytes  12.7 Mbits/sec
[  1] 150.00-151.00 sec  1.03 MBytes  8.66 Mbits/sec
[  1] 151.00-152.00 sec  2.00 MBytes  16.8 Mbits/sec
[  1] 152.00-153.00 sec  2.32 MBytes  19.5 Mbits/sec
[  1] 153.00-154.00 sec  2.07 MBytes  17.4 Mbits/sec
[  1] 154.00-155.00 sec  2.00 MBytes  16.8 Mbits/sec
[  1] 155.00-156.00 sec  1.91 MBytes  16.0 Mbits/sec
[  1] 156.00-157.00 sec  1.75 MBytes  14.7 Mbits/sec
[  1] 157.00-158.00 sec  1.75 MBytes  14.7 Mbits/sec
[  1] 158.00-159.00 sec  1.78 MBytes  14.9 Mbits/sec
[  1] 159.00-160.00 sec  1.93 MBytes  16.2 Mbits/sec
[  1] 160.00-161.00 sec  2.26 MBytes  19.0 Mbits/sec
[  1] 161.00-162.00 sec  2.01 MBytes  16.8 Mbits/sec
[  1] 162.00-163.00 sec  1.90 MBytes  15.9 Mbits/sec
[  1] 163.00-164.00 sec  1.40 MBytes  11.8 Mbits/sec
[  1] 164.00-165.00 sec  1.55 MBytes  13.0 Mbits/sec
[  1] 165.00-166.00 sec  1.98 MBytes  16.6 Mbits/sec
[  1] 166.00-167.00 sec  2.10 MBytes  17.6 Mbits/sec
[  1] 167.00-168.00 sec  2.10 MBytes  17.7 Mbits/sec
[  1] 168.00-169.00 sec  2.45 MBytes  20.6 Mbits/sec
[  1] 169.00-170.00 sec  2.14 MBytes  18.0 Mbits/sec
[  1] 170.00-171.00 sec  2.01 MBytes  16.8 Mbits/sec
[  1] 171.00-172.00 sec  2.07 MBytes  17.4 Mbits/sec
[  1] 172.00-173.00 sec  2.07 MBytes  17.4 Mbits/sec
[  1] 173.00-174.00 sec  2.00 MBytes  16.8 Mbits/sec
[  1] 174.00-175.00 sec  2.07 MBytes  17.4 Mbits/sec
[  1] 175.00-176.00 sec  2.03 MBytes  17.0 Mbits/sec
[  1] 176.00-177.00 sec  2.22 MBytes  18.6 Mbits/sec
[  1] 177.00-178.00 sec  2.21 MBytes  18.5 Mbits/sec
[  1] 178.00-179.00 sec  2.19 MBytes  18.4 Mbits/sec
[  1] 179.00-180.00 sec  1.95 MBytes  16.3 Mbits/sec
[  1] 180.00-181.00 sec  2.04 MBytes  17.1 Mbits/sec
[  1] 181.00-182.00 sec  2.25 MBytes  18.9 Mbits/sec
[  1] 182.00-183.00 sec  2.44 MBytes  20.5 Mbits/sec
[  1] 183.00-184.00 sec  2.26 MBytes  19.0 Mbits/sec
[  1] 184.00-185.00 sec  2.07 MBytes  17.4 Mbits/sec
[  1] 185.00-186.00 sec  1.37 MBytes  11.5 Mbits/sec
[  1] 186.00-187.00 sec  1.23 MBytes  10.3 Mbits/sec
[  1] 187.00-188.00 sec  1.74 MBytes  14.6 Mbits/sec
[  1] 188.00-189.00 sec  1.91 MBytes  16.1 Mbits/sec
[  1] 189.00-190.00 sec  2.13 MBytes  17.9 Mbits/sec
[  1] 190.00-191.00 sec  1.82 MBytes  15.2 Mbits/sec
[  1] 191.00-192.00 sec  2.13 MBytes  17.9 Mbits/sec
[  1] 192.00-193.00 sec  2.46 MBytes  20.6 Mbits/sec
[  1] 193.00-194.00 sec  2.26 MBytes  19.0 Mbits/sec
[  1] 194.00-195.00 sec  2.08 MBytes  17.4 Mbits/sec
[  1] 195.00-196.00 sec  2.20 MBytes  18.4 Mbits/sec
[  1] 196.00-197.00 sec  2.26 MBytes  19.0 Mbits/sec
[  1] 197.00-198.00 sec  2.27 MBytes  19.0 Mbits/sec
[  1] 198.00-199.00 sec  2.29 MBytes  19.2 Mbits/sec
[  1] 199.00-200.00 sec  2.00 MBytes  16.8 Mbits/sec
[  1] 200.00-201.00 sec  2.28 MBytes  19.1 Mbits/sec
[  1] 201.00-202.00 sec  2.52 MBytes  21.1 Mbits/sec
[  1] 202.00-203.00 sec  1.95 MBytes  16.3 Mbits/sec
[  1] 203.00-204.00 sec  2.10 MBytes  17.6 Mbits/sec
[  1] 204.00-205.00 sec  2.13 MBytes  17.9 Mbits/sec
[  1] 205.00-206.00 sec  1.81 MBytes  15.2 Mbits/sec
[  1] 206.00-207.00 sec  2.14 MBytes  17.9 Mbits/sec
[  1] 207.00-208.00 sec  1.81 MBytes  15.1 Mbits/sec
[  1] 208.00-209.00 sec  2.52 MBytes  21.1 Mbits/sec
[  1] 209.00-210.00 sec  2.22 MBytes  18.6 Mbits/sec
[  1] 210.00-211.00 sec  2.12 MBytes  17.7 Mbits/sec
[  1] 211.00-212.00 sec  1.94 MBytes  16.3 Mbits/sec
[  1] 212.00-213.00 sec  1.87 MBytes  15.7 Mbits/sec
[  1] 213.00-214.00 sec  1.99 MBytes  16.7 Mbits/sec
[  1] 214.00-215.00 sec  1.64 MBytes  13.8 Mbits/sec
[  1] 215.00-216.00 sec  2.32 MBytes  19.5 Mbits/sec
[  1] 216.00-217.00 sec  2.13 MBytes  17.9 Mbits/sec
[  1] 217.00-218.00 sec  2.31 MBytes  19.4 Mbits/sec
[  1] 218.00-219.00 sec  2.14 MBytes  18.0 Mbits/sec
[  1] 219.00-220.00 sec  1.68 MBytes  14.1 Mbits/sec
[  1] 220.00-221.00 sec  2.02 MBytes  17.0 Mbits/sec
[  1] 221.00-222.00 sec  2.12 MBytes  17.8 Mbits/sec
[  1] 222.00-223.00 sec  1.69 MBytes  14.1 Mbits/sec
[  1] 223.00-224.00 sec  2.37 MBytes  19.9 Mbits/sec
[  1] 224.00-225.00 sec  2.17 MBytes  18.2 Mbits/sec
[  1] 225.00-226.00 sec  2.29 MBytes  19.3 Mbits/sec
[  1] 226.00-227.00 sec  2.00 MBytes  16.8 Mbits/sec
[  1] 227.00-228.00 sec  2.06 MBytes  17.3 Mbits/sec
[  1] 228.00-229.00 sec  1.74 MBytes  14.6 Mbits/sec
[  1] 229.00-230.00 sec  1.97 MBytes  16.5 Mbits/sec
[  1] 230.00-231.00 sec  2.20 MBytes  18.4 Mbits/sec
[  1] 231.00-232.00 sec  1.91 MBytes  16.0 Mbits/sec
[  1] 232.00-233.00 sec  2.14 MBytes  18.0 Mbits/sec
[  1] 233.00-234.00 sec  2.32 MBytes  19.4 Mbits/sec
[  1] 234.00-235.00 sec  1.77 MBytes  14.8 Mbits/sec
[  1] 235.00-236.00 sec  1.95 MBytes  16.3 Mbits/sec
[  1] 236.00-237.00 sec  2.33 MBytes  19.6 Mbits/sec
[  1] 237.00-238.00 sec  1.68 MBytes  14.1 Mbits/sec
[  1] 238.00-239.00 sec  1.71 MBytes  14.3 Mbits/sec
[  1] 239.00-240.00 sec  1.81 MBytes  15.1 Mbits/sec
[  1] 240.00-241.00 sec  2.13 MBytes  17.9 Mbits/sec
[  1] 241.00-242.00 sec  2.19 MBytes  18.4 Mbits/sec
[  1] 242.00-243.00 sec  2.30 MBytes  19.3 Mbits/sec
[  1] 243.00-244.00 sec  2.24 MBytes  18.8 Mbits/sec
[  1] 244.00-245.00 sec  2.07 MBytes  17.4 Mbits/sec
[  1] 245.00-246.00 sec  1.84 MBytes  15.5 Mbits/sec
[  1] 246.00-247.00 sec  2.07 MBytes  17.4 Mbits/sec
[  1] 247.00-248.00 sec  2.22 MBytes  18.6 Mbits/sec
[  1] 248.00-249.00 sec  2.32 MBytes  19.4 Mbits/sec
[  1] 249.00-250.00 sec  2.09 MBytes  17.5 Mbits/sec
[  1] 250.00-251.00 sec  1.64 MBytes  13.8 Mbits/sec
[  1] 251.00-252.00 sec  1.93 MBytes  16.2 Mbits/sec
[  1] 252.00-253.00 sec  1.74 MBytes  14.6 Mbits/sec
[  1] 253.00-254.00 sec  2.10 MBytes  17.6 Mbits/sec
[  1] 254.00-255.00 sec  1.55 MBytes  13.0 Mbits/sec
[  1] 255.00-256.00 sec  2.26 MBytes  19.0 Mbits/sec
[  1] 256.00-257.00 sec  1.92 MBytes  16.1 Mbits/sec
[  1] 257.00-258.00 sec  1.88 MBytes  15.8 Mbits/sec
[  1] 258.00-259.00 sec  1.87 MBytes  15.7 Mbits/sec
[  1] 259.00-260.00 sec  1.86 MBytes  15.6 Mbits/sec
[  1] 260.00-261.00 sec  1.49 MBytes  12.5 Mbits/sec
[  1] 261.00-262.00 sec  1.59 MBytes  13.3 Mbits/sec
[  1] 262.00-263.00 sec  1.68 MBytes  14.1 Mbits/sec
[  1] 263.00-264.00 sec  1.61 MBytes  13.5 Mbits/sec
[  1] 264.00-265.00 sec  2.07 MBytes  17.4 Mbits/sec
[  1] 265.00-266.00 sec  1.71 MBytes  14.3 Mbits/sec
[  1] 266.00-267.00 sec  1.42 MBytes  11.9 Mbits/sec
[  1] 267.00-268.00 sec  1.81 MBytes  15.1 Mbits/sec
[  1] 268.00-269.00 sec  1.36 MBytes  11.4 Mbits/sec
[  1] 269.00-270.00 sec  1.35 MBytes  11.3 Mbits/sec
[  1] 270.00-271.00 sec  1.67 MBytes  14.0 Mbits/sec
[  1] 271.00-272.00 sec  1.49 MBytes  12.5 Mbits/sec
[  1] 272.00-273.00 sec  1.50 MBytes  12.5 Mbits/sec
[  1] 273.00-274.00 sec  2.08 MBytes  17.5 Mbits/sec
[  1] 274.00-275.00 sec  1.39 MBytes  11.6 Mbits/sec
[  1] 275.00-276.00 sec  1.22 MBytes  10.2 Mbits/sec
[  1] 276.00-277.00 sec  1.35 MBytes  11.4 Mbits/sec
[  1] 277.00-278.00 sec  1.23 MBytes  10.3 Mbits/sec
[  1] 278.00-279.00 sec  1.45 MBytes  12.1 Mbits/sec
[  1] 279.00-280.00 sec  1.95 MBytes  16.4 Mbits/sec
[  1] 280.00-281.00 sec  1.23 MBytes  10.3 Mbits/sec
[  1] 281.00-282.00 sec  1.88 MBytes  15.8 Mbits/sec
[  1] 282.00-283.00 sec  1.60 MBytes  13.4 Mbits/sec
[  1] 283.00-284.00 sec  1.55 MBytes  13.0 Mbits/sec
[  1] 284.00-285.00 sec  1.74 MBytes  14.6 Mbits/sec
[  1] 285.00-286.00 sec  1.68 MBytes  14.1 Mbits/sec
[  1] 286.00-287.00 sec  1.46 MBytes  12.2 Mbits/sec
[  1] 287.00-288.00 sec  1.81 MBytes  15.2 Mbits/sec
[  1] 288.00-289.00 sec  1.94 MBytes  16.3 Mbits/sec
[  1] 289.00-290.00 sec  1.81 MBytes  15.2 Mbits/sec
[  1] 290.00-291.00 sec  1.38 MBytes  11.6 Mbits/sec
[  1] 291.00-292.00 sec  1.82 MBytes  15.3 Mbits/sec
[  1] 292.00-293.00 sec  1.68 MBytes  14.1 Mbits/sec
[  1] 293.00-294.00 sec  2.17 MBytes  18.2 Mbits/sec
[  1] 294.00-295.00 sec  2.26 MBytes  19.0 Mbits/sec
[  1] 295.00-296.00 sec  2.50 MBytes  20.9 Mbits/sec
[  1] 296.00-297.00 sec  1.95 MBytes  16.3 Mbits/sec
[  1] 297.00-298.00 sec  2.43 MBytes  20.4 Mbits/sec
[  1] 298.00-299.00 sec  2.05 MBytes  17.2 Mbits/sec
[  1] 299.00-300.00 sec  2.23 MBytes  18.7 Mbits/sec
[  1] 0.00-300.02 sec   579 MBytes  16.2 Mbits/sec
[  1] Sent 412783 datagrams
[  1] Server Report:
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 0.00-296.32 sec   404 MBytes  11.4 Mbits/sec   3.478 ms 124577/412783 (30%)
[  1] 0.00-296.32 sec  1863 datagrams received out-of-order
