iperf2 -c 192.168.1.29 -i 1 -p 5004 -t 300 -u -b 40M
------------------------------------------------------------
Client connecting to 192.168.1.29, UDP port 5004
Sending 1470 byte datagrams, IPG target: 280.38 us (kalman adjust)
UDP buffer size: 16.0 KByte
------------------------------------------------------------
[  1] local 0.0.0.0 port 20398 connected with 192.168.1.29 port 5004
[ ID] Interval       Transfer     Bandwidth
[  1] 278.00-279.00 sec   797 KBytes  6.53 Mbits/sec
[  1] 279.00-280.00 sec   893 KBytes  7.31 Mbits/sec
[  1] 280.00-281.00 sec   863 KBytes  7.07 Mbits/sec
[  1] 281.00-282.00 sec   790 KBytes  6.47 Mbits/sec
[  1] 282.00-283.00 sec   858 KBytes  7.03 Mbits/sec
[  1] 283.00-284.00 sec   890 KBytes  7.29 Mbits/sec
[  1] 284.00-285.00 sec   840 KBytes  6.88 Mbits/sec
[  1] 285.00-286.00 sec   856 KBytes  7.01 Mbits/sec
[  1] 286.00-287.00 sec   808 KBytes  6.62 Mbits/sec
[  1] 287.00-288.00 sec   881 KBytes  7.22 Mbits/sec
[  1] 288.00-289.00 sec   860 KBytes  7.04 Mbits/sec
[  1] 289.00-290.00 sec   831 KBytes  6.81 Mbits/sec
[  1] 290.00-291.00 sec   874 KBytes  7.16 Mbits/sec
[  1] 291.00-292.00 sec   879 KBytes  7.20 Mbits/sec
[  1] 292.00-293.00 sec   817 KBytes  6.69 Mbits/sec
[  1] 293.00-294.00 sec   864 KBytes  7.08 Mbits/sec
[  1] 294.00-295.00 sec   860 KBytes  7.04 Mbits/sec
[  1] 295.00-296.00 sec   629 KBytes  5.15 Mbits/sec
[  1] 296.00-297.00 sec   772 KBytes  6.33 Mbits/sec
[  1] 297.00-298.00 sec   712 KBytes  5.83 Mbits/sec
[  1] 298.00-299.00 sec   828 KBytes  6.79 Mbits/sec
[  1] 299.00-300.00 sec   913 KBytes  7.48 Mbits/sec
[  1] 0.00-300.01 sec   221 MBytes  6.17 Mbits/sec
[  1] Sent 157461 datagrams
[  1] Server Report:
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 0.00-300.11 sec   220 MBytes  6.16 Mbits/sec   3.343 ms 356/157460 (0.23%)
[  1] 0.00-300.11 sec  691 datagrams received out-of-order
nsh> [K
nsh> [K{"case": "5.1.25", "command": "iperf2 -c 192.168.1.29 -i 1 -p 5004 -t 300 -u -b 40M", "status": "EXECUTION_COMPLETE_RATE_PENDING", "rate_acceptance": "pending criterion and both endpoint logs", "wall_seconds": 327.41041518500424, "full_duration_summary": true, "uart_sha256": "602c64aea31e85b34eeef764d1dbdd872cfbd10099d401a56304074b6ce8b5bd"}
