------------------------------------------------------------
Server listening on UDP port 5004
UDP buffer size: 64.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.29 port 5004 connected with 192.168.1.60 port 18861
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 60.00-61.00 sec   461 KBytes  3.77 Mbits/sec   4.408 ms 0/321 (0%)
[  1] 61.00-62.00 sec   471 KBytes  3.86 Mbits/sec   3.282 ms 0/328 (0%)
[  1] 62.00-63.00 sec   502 KBytes  4.12 Mbits/sec   3.641 ms 0/350 (0%)
[  1] 63.00-64.00 sec   491 KBytes  4.02 Mbits/sec   3.993 ms 0/342 (0%)
[  1] 64.00-65.00 sec   490 KBytes  4.01 Mbits/sec   3.967 ms 0/341 (0%)
[  1] 65.00-66.00 sec   495 KBytes  4.06 Mbits/sec   2.872 ms 0/345 (0%)
[  1] 66.00-67.00 sec   485 KBytes  3.97 Mbits/sec   4.036 ms 0/338 (0%)
[  1] 67.00-68.00 sec   471 KBytes  3.86 Mbits/sec   3.654 ms 0/328 (0%)
[  1] 68.00-69.00 sec   484 KBytes  3.96 Mbits/sec   4.365 ms 0/337 (0%)
[  1] 69.00-70.00 sec   505 KBytes  4.14 Mbits/sec   3.495 ms 0/352 (0%)
[  1] 70.00-71.00 sec   494 KBytes  4.05 Mbits/sec   3.097 ms 0/344 (0%)
[  1] 71.00-72.00 sec   469 KBytes  3.85 Mbits/sec   5.110 ms 0/327 (0%)
[  1] 72.00-73.00 sec   494 KBytes  4.05 Mbits/sec   3.245 ms 0/344 (0%)
[  1] 73.00-74.00 sec   490 KBytes  4.01 Mbits/sec   4.410 ms 0/341 (0%)
[  1] 74.00-75.00 sec   462 KBytes  3.79 Mbits/sec   3.842 ms 0/322 (0%)
[  1] 75.00-76.00 sec   514 KBytes  4.21 Mbits/sec   4.410 ms 0/358 (0%)
[  1] 76.00-77.00 sec   488 KBytes  4.00 Mbits/sec   4.175 ms 0/340 (0%)
[  1] 77.00-78.00 sec   449 KBytes  3.68 Mbits/sec   4.965 ms 0/313 (0%)
[  1] 78.00-79.00 sec   508 KBytes  4.16 Mbits/sec   3.187 ms 0/354 (0%)
[  1] 79.00-80.00 sec   504 KBytes  4.13 Mbits/sec   3.877 ms 0/351 (0%)
[  1] 80.00-81.00 sec   477 KBytes  3.90 Mbits/sec   3.476 ms 0/332 (0%)
[  1] 81.00-82.00 sec   502 KBytes  4.12 Mbits/sec   3.889 ms 0/350 (0%)
[  1] 82.00-83.00 sec   487 KBytes  3.99 Mbits/sec   3.821 ms 0/339 (0%)
[  1] 83.00-84.00 sec   481 KBytes  3.94 Mbits/sec   3.331 ms 0/335 (0%)
[  1] 84.00-85.00 sec   477 KBytes  3.90 Mbits/sec   3.228 ms 0/332 (0%)
[  1] 85.00-86.00 sec   498 KBytes  4.08 Mbits/sec   3.870 ms 0/347 (0%)
[  1] 86.00-87.00 sec   502 KBytes  4.12 Mbits/sec   3.694 ms 0/350 (0%)
[  1] 87.00-88.00 sec   481 KBytes  3.94 Mbits/sec   4.466 ms 0/335 (0%)
[  1] 88.00-89.00 sec   488 KBytes  4.00 Mbits/sec   4.410 ms 0/340 (0%)
[  1] 89.00-90.00 sec   488 KBytes  4.00 Mbits/sec   4.048 ms 0/340 (0%)
[  1] 90.00-91.00 sec   465 KBytes  3.81 Mbits/sec   4.270 ms 0/324 (0%)
[  1] 91.00-92.00 sec   494 KBytes  4.05 Mbits/sec   3.616 ms 0/344 (0%)
[  1] 92.00-93.00 sec   501 KBytes  4.10 Mbits/sec   3.696 ms 0/349 (0%)
[  1] 93.00-94.00 sec   490 KBytes  4.01 Mbits/sec   3.857 ms 0/341 (0%)
[  1] 94.00-95.00 sec   451 KBytes  3.69 Mbits/sec   5.377 ms 0/314 (0%)
[  1] 95.00-96.00 sec   521 KBytes  4.27 Mbits/sec   3.477 ms 0/363 (0%)
[  1] 96.00-97.00 sec   487 KBytes  3.99 Mbits/sec   3.463 ms 0/339 (0%)
[  1] 97.00-98.00 sec   484 KBytes  3.96 Mbits/sec   3.922 ms 0/337 (0%)
[  1] 98.00-99.00 sec   474 KBytes  3.88 Mbits/sec   3.395 ms 0/330 (0%)
[  1] 99.00-100.00 sec   478 KBytes  3.92 Mbits/sec   3.750 ms 0/333 (0%)
[  1] 100.00-101.00 sec   471 KBytes  3.86 Mbits/sec   4.026 ms 0/328 (0%)
[  1] 101.00-102.00 sec   475 KBytes  3.89 Mbits/sec   5.846 ms 0/331 (0%)
[  1] 102.00-103.00 sec   514 KBytes  4.21 Mbits/sec   3.344 ms 0/358 (0%)
[  1] 103.00-104.00 sec   490 KBytes  4.01 Mbits/sec   3.538 ms 0/341 (0%)
[  1] 104.00-105.00 sec   484 KBytes  3.96 Mbits/sec   3.650 ms 0/337 (0%)
[  1] 105.00-106.00 sec   488 KBytes  4.00 Mbits/sec   3.958 ms 0/340 (0%)
[  1] 106.00-107.00 sec   495 KBytes  4.06 Mbits/sec   4.153 ms 0/345 (0%)
[  1] 107.00-108.00 sec   490 KBytes  4.01 Mbits/sec   3.455 ms 0/341 (0%)
[  1] 108.00-109.00 sec   485 KBytes  3.97 Mbits/sec   3.894 ms 0/338 (0%)
[  1] 109.00-110.00 sec   505 KBytes  4.14 Mbits/sec   3.381 ms 0/352 (0%)
[  1] 110.00-111.00 sec   491 KBytes  4.02 Mbits/sec   3.506 ms 0/342 (0%)
[  1] 111.00-112.00 sec   484 KBytes  3.96 Mbits/sec   3.992 ms 0/337 (0%)
[  1] 112.00-113.00 sec   497 KBytes  4.07 Mbits/sec   3.343 ms 0/346 (0%)
[  1] 113.00-114.00 sec   472 KBytes  3.87 Mbits/sec   3.812 ms 0/329 (0%)
[  1] 114.00-115.00 sec   468 KBytes  3.83 Mbits/sec   4.592 ms 0/326 (0%)
[  1] 115.00-116.00 sec   501 KBytes  4.10 Mbits/sec   3.856 ms 0/349 (0%)
[  1] 116.00-117.00 sec   492 KBytes  4.03 Mbits/sec   3.065 ms 0/343 (0%)
[  1] 117.00-118.00 sec   471 KBytes  3.86 Mbits/sec   4.219 ms 0/328 (0%)
