------------------------------------------------------------
Server listening on TCP port 5002
TCP window size: 64.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.29 port 5002 connected with 192.168.1.60 port 22320
[ ID] Interval       Transfer     Bandwidth
[  1] 38.00-39.00 sec   169 KBytes  1.38 Mbits/sec
[  1] 39.00-40.00 sec   192 KBytes  1.57 Mbits/sec
[  1] 40.00-41.00 sec   183 KBytes  1.50 Mbits/sec
[  1] 41.00-42.00 sec   209 KBytes  1.72 Mbits/sec
[  1] 42.00-43.00 sec   180 KBytes  1.48 Mbits/sec
[  1] 43.00-44.00 sec   175 KBytes  1.43 Mbits/sec
[  1] 44.00-45.00 sec   170 KBytes  1.40 Mbits/sec
[  1] 45.00-46.00 sec   192 KBytes  1.57 Mbits/sec
[  1] 46.00-47.00 sec   196 KBytes  1.61 Mbits/sec
[  1] 47.00-48.00 sec   183 KBytes  1.50 Mbits/sec
[  1] 48.00-49.00 sec   190 KBytes  1.56 Mbits/sec
[  1] 49.00-50.00 sec   173 KBytes  1.42 Mbits/sec
[  1] 50.00-51.00 sec   159 KBytes  1.30 Mbits/sec
[  1] 51.00-52.00 sec   161 KBytes  1.32 Mbits/sec
[  1] 52.00-53.00 sec   185 KBytes  1.52 Mbits/sec
[  1] 53.00-54.00 sec   167 KBytes  1.37 Mbits/sec
[  1] 54.00-55.00 sec   137 KBytes  1.12 Mbits/sec
[  1] 55.00-56.00 sec   150 KBytes  1.23 Mbits/sec
[  1] 56.00-57.00 sec   189 KBytes  1.55 Mbits/sec
[  1] 57.00-58.00 sec   189 KBytes  1.55 Mbits/sec
[  1] 58.00-59.00 sec   191 KBytes  1.56 Mbits/sec
[  1] 59.00-60.00 sec   177 KBytes  1.45 Mbits/sec
[  1] 60.00-61.00 sec   185 KBytes  1.51 Mbits/sec
[  1] 61.00-62.00 sec   188 KBytes  1.54 Mbits/sec
[  1] 62.00-63.00 sec   166 KBytes  1.36 Mbits/sec
[  1] 63.00-64.00 sec   195 KBytes  1.60 Mbits/sec
[  1] 64.00-65.00 sec   191 KBytes  1.56 Mbits/sec
[  1] 65.00-66.00 sec   212 KBytes  1.74 Mbits/sec
[  1] 66.00-67.00 sec   159 KBytes  1.30 Mbits/sec
[  1] 67.00-68.00 sec   205 KBytes  1.68 Mbits/sec
[  1] 68.00-69.00 sec   185 KBytes  1.52 Mbits/sec
[  1] 69.00-70.00 sec   183 KBytes  1.50 Mbits/sec
[  1] 70.00-71.00 sec   183 KBytes  1.50 Mbits/sec
[  1] 71.00-72.00 sec   170 KBytes  1.40 Mbits/sec
[  1] 72.00-73.00 sec   201 KBytes  1.64 Mbits/sec
[  1] 73.00-74.00 sec   154 KBytes  1.26 Mbits/sec
[  1] 74.00-75.00 sec   186 KBytes  1.52 Mbits/sec
[  1] 75.00-76.00 sec   169 KBytes  1.38 Mbits/sec
[  1] 76.00-77.00 sec   195 KBytes  1.60 Mbits/sec
[  1] 77.00-78.00 sec  71.4 KBytes   585 Kbits/sec
[  1] 78.00-79.00 sec  18.9 KBytes   154 Kbits/sec
[  1] 79.00-80.00 sec   192 KBytes  1.57 Mbits/sec
[  1] 80.00-81.00 sec   212 KBytes  1.74 Mbits/sec
[  1] 81.00-82.00 sec   192 KBytes  1.57 Mbits/sec
[  1] 82.00-83.00 sec   204 KBytes  1.67 Mbits/sec
[  1] 83.00-84.00 sec   176 KBytes  1.44 Mbits/sec
[  1] 84.00-85.00 sec   182 KBytes  1.49 Mbits/sec
[  1] 85.00-86.00 sec   186 KBytes  1.52 Mbits/sec
[  1] 86.00-87.00 sec   172 KBytes  1.41 Mbits/sec
[  1] 87.00-88.00 sec   202 KBytes  1.66 Mbits/sec
[  1] 88.00-89.00 sec   166 KBytes  1.36 Mbits/sec
[  1] 89.00-90.00 sec   202 KBytes  1.66 Mbits/sec
[  1] 90.00-91.00 sec   191 KBytes  1.56 Mbits/sec
[  1] 91.00-92.00 sec   186 KBytes  1.52 Mbits/sec
[  1] 92.00-93.00 sec   166 KBytes  1.36 Mbits/sec
[  1] 93.00-94.00 sec   201 KBytes  1.64 Mbits/sec
[  1] 94.00-95.00 sec   189 KBytes  1.55 Mbits/sec
[  1] 95.00-96.00 sec   218 KBytes  1.79 Mbits/sec
[  1] 96.00-97.00 sec   172 KBytes  1.41 Mbits/sec
[  1] 97.00-98.00 sec   203 KBytes  1.67 Mbits/sec
[  1] 98.00-99.00 sec   182 KBytes  1.49 Mbits/sec
[  1] 99.00-100.00 sec   212 KBytes  1.74 Mbits/sec
[  1] 100.00-101.00 sec   186 KBytes  1.53 Mbits/sec
[  1] 101.00-102.00 sec   179 KBytes  1.47 Mbits/sec
[  1] 102.00-103.00 sec   211 KBytes  1.73 Mbits/sec
[  1] 103.00-104.00 sec   197 KBytes  1.62 Mbits/sec
[  1] 104.00-105.00 sec   197 KBytes  1.61 Mbits/sec
[  1] 105.00-106.00 sec   173 KBytes  1.42 Mbits/sec
[  1] 106.00-107.00 sec   205 KBytes  1.68 Mbits/sec
[  1] 107.00-108.00 sec   159 KBytes  1.30 Mbits/sec
[  1] 108.00-109.00 sec   202 KBytes  1.66 Mbits/sec
[  1] 109.00-110.00 sec   193 KBytes  1.58 Mbits/sec
[  1] 110.00-111.00 sec   185 KBytes  1.51 Mbits/sec
[  1] 111.00-112.00 sec   185 KBytes  1.51 Mbits/sec
[  1] 112.00-113.00 sec   220 KBytes  1.80 Mbits/sec
[  1] 113.00-114.00 sec   186 KBytes  1.52 Mbits/sec
[  1] 114.00-115.00 sec   160 KBytes  1.31 Mbits/sec
[  1] 115.00-116.00 sec   185 KBytes  1.51 Mbits/sec
[  1] 116.00-117.00 sec   176 KBytes  1.44 Mbits/sec
[  1] 117.00-118.00 sec   187 KBytes  1.54 Mbits/sec
[  1] 118.00-119.00 sec   207 KBytes  1.69 Mbits/sec
[  1] 119.00-120.00 sec   162 KBytes  1.32 Mbits/sec
[  1] 120.00-121.00 sec   195 KBytes  1.59 Mbits/sec
[  1] 121.00-122.00 sec   189 KBytes  1.55 Mbits/sec
[  1] 122.00-123.00 sec   160 KBytes  1.31 Mbits/sec
[  1] 123.00-124.00 sec   166 KBytes  1.36 Mbits/sec
[  1] 124.00-125.00 sec   201 KBytes  1.64 Mbits/sec
[  1] 125.00-126.00 sec   191 KBytes  1.56 Mbits/sec
[  1] 126.00-127.00 sec   175 KBytes  1.43 Mbits/sec
[  1] 127.00-128.00 sec   181 KBytes  1.48 Mbits/sec
[  1] 128.00-129.00 sec   199 KBytes  1.63 Mbits/sec
[  1] 129.00-130.00 sec   199 KBytes  1.63 Mbits/sec
[  1] 130.00-131.00 sec   215 KBytes  1.76 Mbits/sec
[  1] 131.00-132.00 sec   212 KBytes  1.74 Mbits/sec
[  1] 132.00-133.00 sec   185 KBytes  1.51 Mbits/sec
[  1] 133.00-134.00 sec   179 KBytes  1.47 Mbits/sec
[  1] 134.00-135.00 sec   192 KBytes  1.57 Mbits/sec
[  1] 135.00-136.00 sec   192 KBytes  1.57 Mbits/sec
[  1] 136.00-137.00 sec   211 KBytes  1.73 Mbits/sec
[  1] 137.00-138.00 sec   191 KBytes  1.56 Mbits/sec
[  1] 138.00-139.00 sec   192 KBytes  1.57 Mbits/sec
[  1] 139.00-140.00 sec   116 KBytes   953 Kbits/sec
[  1] 140.00-141.00 sec   139 KBytes  1.14 Mbits/sec
[  1] 141.00-142.00 sec  96.0 KBytes   786 Kbits/sec
[  1] 142.00-143.00 sec   199 KBytes  1.63 Mbits/sec
[  1] 143.00-144.00 sec   201 KBytes  1.65 Mbits/sec
[  1] 144.00-145.00 sec   209 KBytes  1.72 Mbits/sec
[  1] 145.00-146.00 sec   193 KBytes  1.58 Mbits/sec
[  1] 146.00-147.00 sec   195 KBytes  1.59 Mbits/sec
[  1] 147.00-148.00 sec   197 KBytes  1.62 Mbits/sec
[  1] 148.00-149.00 sec   204 KBytes  1.67 Mbits/sec
[  1] 149.00-150.00 sec   185 KBytes  1.51 Mbits/sec
[  1] 150.00-151.00 sec   208 KBytes  1.70 Mbits/sec
[  1] 151.00-152.00 sec   187 KBytes  1.54 Mbits/sec
[  1] 152.00-153.00 sec   186 KBytes  1.53 Mbits/sec
[  1] 153.00-154.00 sec   174 KBytes  1.43 Mbits/sec
[  1] 154.00-155.00 sec   178 KBytes  1.46 Mbits/sec
[  1] 155.00-156.00 sec   199 KBytes  1.63 Mbits/sec
[  1] 156.00-157.00 sec   195 KBytes  1.60 Mbits/sec
[  1] 157.00-158.00 sec   198 KBytes  1.62 Mbits/sec
[  1] 158.00-159.00 sec   186 KBytes  1.52 Mbits/sec
[  1] 159.00-160.00 sec   210 KBytes  1.72 Mbits/sec
[  1] 160.00-161.00 sec   209 KBytes  1.72 Mbits/sec
[  1] 161.00-162.00 sec   195 KBytes  1.60 Mbits/sec
[  1] 162.00-163.00 sec   183 KBytes  1.50 Mbits/sec
[  1] 163.00-164.00 sec   201 KBytes  1.65 Mbits/sec
[  1] 164.00-165.00 sec   212 KBytes  1.74 Mbits/sec
[  1] 165.00-166.00 sec   215 KBytes  1.76 Mbits/sec
[  1] 166.00-167.00 sec   214 KBytes  1.75 Mbits/sec
[  1] 167.00-168.00 sec   192 KBytes  1.57 Mbits/sec
[  1] 168.00-169.00 sec   179 KBytes  1.47 Mbits/sec
[  1] 169.00-170.00 sec   195 KBytes  1.60 Mbits/sec
[  1] 170.00-171.00 sec   205 KBytes  1.68 Mbits/sec
[  1] 171.00-172.00 sec   170 KBytes  1.39 Mbits/sec
[  1] 172.00-173.00 sec   180 KBytes  1.48 Mbits/sec
[  1] 173.00-174.00 sec   175 KBytes  1.43 Mbits/sec
[  1] 174.00-175.00 sec   169 KBytes  1.39 Mbits/sec
[  1] 175.00-176.00 sec   208 KBytes  1.70 Mbits/sec
[  1] 176.00-177.00 sec   218 KBytes  1.79 Mbits/sec
[  1] 177.00-178.00 sec   188 KBytes  1.54 Mbits/sec
[  1] 178.00-179.00 sec   205 KBytes  1.68 Mbits/sec
[  1] 179.00-180.00 sec   171 KBytes  1.40 Mbits/sec
[  1] 180.00-181.00 sec   197 KBytes  1.61 Mbits/sec
[  1] 181.00-182.00 sec   161 KBytes  1.32 Mbits/sec
[  1] 182.00-183.00 sec   151 KBytes  1.24 Mbits/sec
[  1] 183.00-184.00 sec   207 KBytes  1.69 Mbits/sec
[  1] 184.00-185.00 sec   184 KBytes  1.51 Mbits/sec
[  1] 185.00-186.00 sec   145 KBytes  1.19 Mbits/sec
[  1] 186.00-187.00 sec   171 KBytes  1.40 Mbits/sec
[  1] 187.00-188.00 sec   192 KBytes  1.58 Mbits/sec
[  1] 188.00-189.00 sec   170 KBytes  1.39 Mbits/sec
[  1] 189.00-190.00 sec   154 KBytes  1.26 Mbits/sec
[  1] 190.00-191.00 sec   179 KBytes  1.46 Mbits/sec
[  1] 191.00-192.00 sec   150 KBytes  1.23 Mbits/sec
[  1] 192.00-193.00 sec   179 KBytes  1.47 Mbits/sec
[  1] 193.00-194.00 sec   163 KBytes  1.34 Mbits/sec
[  1] 194.00-195.00 sec   151 KBytes  1.24 Mbits/sec
[  1] 195.00-196.00 sec   177 KBytes  1.45 Mbits/sec
[  1] 196.00-197.00 sec   179 KBytes  1.47 Mbits/sec
[  1] 197.00-198.00 sec   199 KBytes  1.63 Mbits/sec
[  1] 198.00-199.00 sec   166 KBytes  1.36 Mbits/sec
[  1] 199.00-200.00 sec   196 KBytes  1.61 Mbits/sec
[  1] 200.00-201.00 sec   170 KBytes  1.40 Mbits/sec
[  1] 201.00-202.00 sec   181 KBytes  1.48 Mbits/sec
[  1] 202.00-203.00 sec   177 KBytes  1.45 Mbits/sec
[  1] 203.00-204.00 sec   195 KBytes  1.60 Mbits/sec
[  1] 204.00-205.00 sec   166 KBytes  1.36 Mbits/sec
[  1] 205.00-206.00 sec   186 KBytes  1.52 Mbits/sec
[  1] 206.00-207.00 sec   183 KBytes  1.50 Mbits/sec
[  1] 207.00-208.00 sec   189 KBytes  1.55 Mbits/sec
[  1] 208.00-209.00 sec   200 KBytes  1.64 Mbits/sec
[  1] 209.00-210.00 sec   194 KBytes  1.59 Mbits/sec
[  1] 210.00-211.00 sec   176 KBytes  1.44 Mbits/sec
[  1] 211.00-212.00 sec   169 KBytes  1.38 Mbits/sec
[  1] 212.00-213.00 sec   163 KBytes  1.33 Mbits/sec
[  1] 213.00-214.00 sec   177 KBytes  1.45 Mbits/sec
[  1] 214.00-215.00 sec   186 KBytes  1.53 Mbits/sec
[  1] 215.00-216.00 sec   193 KBytes  1.58 Mbits/sec
[  1] 216.00-217.00 sec   186 KBytes  1.53 Mbits/sec
[  1] 217.00-218.00 sec   185 KBytes  1.51 Mbits/sec
[  1] 218.00-219.00 sec   176 KBytes  1.44 Mbits/sec
[  1] 219.00-220.00 sec   192 KBytes  1.57 Mbits/sec
[  1] 220.00-221.00 sec   193 KBytes  1.58 Mbits/sec
[  1] 221.00-222.00 sec   224 KBytes  1.84 Mbits/sec
